# columns = TERM LEMMA POS PROB
# identifier = dumas1855b-51
# creator = Dumas, Alexandre
# created = 1855
# isPartOf = Le Page du duc de Savoie
# title = XII. Le combat à fer émoulu.

↵↵↵	↵↵↵	PUNCTstruct
XII	XII	X
.	.	PUNCTsent
Le	le	DET
combat	combat	NOUN
à	à	ADP
fer	fer	NOUN
émoulu	émoulu	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
chevalier	chevalier	VERB
portait	porter	VERB
,	,	PUNCTclause
debout	debout	ADV
sur	sur	ADP
son	son	DET
étrier	étrier	NOUN
,	,	PUNCTclause
une	un	DET
lance	lance	NOUN
à	à	ADP
fer	fer	NOUN
émoulu	émoulu	ADJ
;	;	PUNCTclause
une	un	DET
épée	épée	NOUN
était	être	AUX
pendue	pendre	VERB
à	à	ADP
l'un	l'un	PRON
des	un	ADP_DET
arçons	arçon	NOUN
de	de	DET
sa	son	AUX
selle	selle	ADJ
,	,	PUNCTclause
une	un	DET
hache	hache	NOUN
à	à	ADP
l'autre	l'autre	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Son	son	DET
écuyer	écuyer	NOUN
venait	venir	VERB
derrière	derrière	ADP
lui	lui	PRON
et	et	CCONJ
portait	porter	VERB
deux	deux	NUM
autres	autre	ADJ
lances	lance	NOUN
à	à	ADP
fer	fer	NOUN
émoulu	émoulu	ADJ
comme	comme	ADP
celle	celle	PRON
de	de	DET
son	son	NOUN
maître	maître	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
cavalier	cavalier	NOUN
était	être	AUX
vêtu	vêtir	VERB
de	de	DET
armes	arme	NOUN
noires	noir	ADJ
;	;	PUNCTclause
les	le	DET
plumes	plume	NOUN
de	de	DET
son	son	NOUN
casque	casque	NOUN
étaient	être	AUX
noires	noir	ADJ
;	;	PUNCTclause
son	son	DET
cheval	cheval	NOUN
était	être	AUX
noir	noir	ADJ
et	et	CCONJ
couvert	couvrir	VERB
de	de	DET
un	un	NUM
caparaçon	caparaçon	NOUN
noir	noir	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Seules	seul	ADJ
,	,	PUNCTclause
la	le	DET
ligne	ligne	NOUN
du	du	ADP_DET
tranchant	tranchant	NOUN
de	de	DET
sa	son	AUX
hache	hache	NOUN
et	et	CCONJ
la	le	DET
pointe	pointe	NOUN
aiguë	aigu	ADJ
de	de	DET
sa	son	AUX
lance	lancer	VERB
brillaient	briller	ADV
de	de	DET
un	un	PRON
sinistre	sinistre	ADP
rayonnement	rayonnement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sur	sur	ADP
son	son	DET
écu	écu	NOUN
,	,	PUNCTclause
nulle	nul	ADJ
devise	devise	NOUN
;	;	PUNCTclause
sur	sur	ADP
sa	son	DET
targe	targe	NOUN
,	,	PUNCTclause
aucune	aucun	DET
armoirie	armoirie	NOUN
ne	ne	ADV
pouvait	pouvoir	VERB
faire	faire	AUX
deviner	deviner	VERB
ni	ni	CCONJ
à	à	ADP
quelle	quel	DET
nation	nation	NOUN
ni	ni	CCONJ
à	à	ADP
quelle	quel	ADJ
classe	classe	NOUN
il	il	PRON
appartenait	appartenir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Une	un	DET
chaîne	chaîne	NOUN
de	de	DET
or	or	NOUN
à	à	ADP
son	son	DET
cou	cou	NOUN
,	,	PUNCTclause
des	un	DET
éperons	éperon	NOUN
de	de	DET
or	or	NOUN
à	à	ADP
ses	son	DET
talons	talon	NOUN
indiquaient	indiquer	VERB
pourtant	pourtant	ADV
que	que	SCONJ
