# columns = TERM LEMMA POS PROB
# identifier = dumas1856-33
# creator = Dumas, Alexandre
# created = 1857
# isPartOf = Les Compagnons de Jéhu
# title = XXXIII – La peine du talion

↵↵↵	↵↵↵	PUNCTstruct
XXXIII	XXXIII	X
—	—	PUNCTclause
La	le	DET
peine	peine	NOUN
du	du	ADP_DET
talion	talion	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Maintenant	maintenant	ADV
,	,	PUNCTclause
général	général	ADJ
,	,	PUNCTclause
dit	dire	VERB
Roland	Roland	PROPN
lorsque	lorsque	SCONJ
le	le	DET
souper	souper	NOUN
fut	être	AUX
fini	finir	VERB
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
les	le	DET
deux	deux	NUM
jeunes	jeune	ADJ
gens	gens	NOUN
,	,	PUNCTclause
les	le	DET
coudes	coude	NOUN
sur	sur	ADP
la	le	DET
table	table	NOUN
,	,	PUNCTclause
allongés	allonger	VERB
devant	devant	ADP
un	un	DET
grand	grand	ADJ
feu	feu	NOUN
;	;	PUNCTclause
commencèrent	commencer	VERB
de	de	DET
éprouver	éprouver	ADJ
ce	ce	NOUN
bien-être	bien-être	ADV
,	,	PUNCTclause
suite	suite	NOUN
ordinaire	ordinaire	ADJ
de	de	DET
un	un	NUM
repas	repas	NOUN
dont	dont	PRON
l'	le	DET
appétit	appétit	NOUN
et	et	CCONJ
la	le	DET
jeunesse	jeunesse	NOUN
ont	avoir	AUX
été	être	AUX
l'	le	DET
assaisonnement	assaisonnement	NOUN
;	;	PUNCTclause
maintenant	maintenant	ADV
,	,	PUNCTclause
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
promis	promettre	VERB
de	de	DET
me	me	PRON
faire	faire	AUX
voir	voir	AUX
des	un	DET
choses	choser	VERB
que	que	SCONJ
je	je	PRON
puisse	pouvoir	VERB
reporter	reporter	VERB
au	au	ADP_DET
premier consul	premier consul	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
vous	vous	PRON
avez	avoir	AUX
promis	promettre	VERB
,	,	PUNCTclause
vous	vous	PRON
,	,	PUNCTclause
de	de	DET
ne	ne	ADV
pas	pas	ADV
vous	vous	PRON
y	y	PRON
opposer	opposer	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
;	;	PUNCTclause
mais	mais	CCONJ
je	je	PRON
me	me	PRON
réserve	réserver	VERB
,	,	PUNCTclause
si	si	SCONJ
ce	ce	PRON
que	que	SCONJ
vous	vous	PRON
me	me	PRON
ferez	faire	AUX
voir	voir	AUX
heurtait	heurter	VERB
trop	trop	ADV
ma	mon	DET
conscience	conscience	NOUN
,	,	PUNCTclause
de	de	DET
me	me	PRON
retirer	retirer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
On	on	PRON
ne	ne	ADV
aura	avoir	VERB
que	que	ADV
la	le	DET
selle	selle	NOUN
à	à	ADP
jeter	jeter	VERB
sur	sur	ADP
le	le	DET
dos	dos	NOUN
de	de	DET
votre	votre	NOUN
cheval	cheval	NOUN
,	,	PUNCTclause
colonel	colonel	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
,	,	PUNCTclause
sur	sur	ADP
le	le	DET
dos	dos	NOUN
du	du	ADP_DET
mien	mien	NOUN
dans	dans	ADP
le	le	DET
cas	cas	NOUN
où	où	ADV
les vôtres	les vôtres	PRON
serait	être	AUX
trop	trop	ADV
fatigué	fatiguer	VERB
,	,	PUNCTclause
et	et	CCONJ
vous	vous	PRON
êtes	être	AUX
libre	libre	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Très	très	ADV
bien	bien	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Justement	justement	NOUN
,	,	PUNCTclause
dit	dire	VERB
Cadoudal	Cadoudal	PROPN
,	,	PUNCTclause
les	le	DET
événements	événement	NOUN
vous	vous	PRON
servent	servir	VERB
;	;	PUNCTclause
je	je	PRON
suis	suivre	VERB
ici	ici	ADV
non seulement	non seulement	ADV
général	général	ADJ
,	,	PUNCTclause
mais	mais	CCONJ
encore	encore	ADV
haut	haut	ADJ
justicier	justicier	NOUN
,	,	PUNCTclause
et	et	CCONJ
il y a	il y a	VERB
longtemps	longtemps	ADV
que	que	SCONJ
je	je	PRON
ai	avoir	AUX
une	un	DET
justice	justice	NOUN
à	à	ADP
faire	faire	AUX
.	.	PUNCTsent
Vous	vous	PRON
me	me	PRON
avez	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
colonel	colonel	NOUN
,	,	PUNCTclause
que	que	SCONJ
le	le	DET
général	général	NOUN
Brune	Brune	PROPN
était	être	AUX
à	à	ADP
Nantes	Nantes	PROPN
:	:	PUNCTclause
je	je	PRON
le	le:PRON	PRON
savais	savoir	VERB
;	;	PUNCTclause
vous	vous	PRON
me	me	PRON
avez	avoir	AUX
dit	dire	VERB
que	que	SCONJ
son	son	DET
avant-garde	avant-garde	NOUN
était	être	AUX
à	à	ADP
quatre	quatre	NUM
lieues	lieue	NOUN
d'ici	d'ici	ADV
,	,	PUNCTclause
à	à	ADP
la	le	DET
Roche-Bernard	Roche-Bernard	PROPN
,	,	PUNCTclause
je	je	PRON
le	le:PRON	PRON
savais	savoir	VERB
encore	encore	ADV
;	;	PUNCTclause
mais	mais	CCONJ
une	un	DET
chose	chose	NOUN
que	que	SCONJ
vous	vous	PRON
