# columns = TERM LEMMA POS PROB
# identifier = dumas1856-46
# creator = Dumas, Alexandre
# created = 1857
# isPartOf = Les Compagnons de Jéhu
# title = XLVI – Une Inspiration

↵↵↵	↵↵↵	PUNCTstruct
XLVI	XLVI	VERB
—	—	PUNCTclause
Une	un	DET
Inspiration	inspiration	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
avons	avoir	AUX
vu	voir	VERB
que	que	SCONJ
,	,	PUNCTclause
dans	dans	ADP
la	le	DET
poursuite	poursuite	NOUN
que	que	PRON
il	il	PRON
avait	avoir	AUX
faite	faire	VERB
la	le	DET
nuit	nuit	NOUN
précédente	précédent	ADJ
,	,	PUNCTclause
Roland	Roland	PROPN
eût	avoir	AUX
pu	pouvoir	VERB
faire	faire	AUX
arrêter	arrêter	VERB
un	un	NUM
ou	ou	CCONJ
deux	deux	NUM
de	de	ADP
ceux	ceux	PRON
que	que	SCONJ
il	il	PRON
poursuivait	poursuivre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
pouvait	pouvoir	VERB
en	en	PRON
faire	faire	VERB
autant	autant	ADV
de	de	ADP
M.	M.	PROPN
de	de	ADP
Valensolle	Valensolle	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
probablement	probablement	ADV
,	,	PUNCTclause
faisait	faire	VERB
ce	ce	PRON
que	que	PRON
avait	avoir	AUX
fait	faire	VERB
Roland	Roland	PROPN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
prenait	prendre	VERB
un	un	DET
jour	jour	NOUN
de	de	ADP
repos	repos	NOUN
après	après	ADP
une	un	DET
nuit	nuit	NOUN
de	de	ADP
fatigue	fatigue	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
lui	lui	PRON
suffisait	suffire	VERB
,	,	PUNCTclause
pour	pour	ADP
cela	cela	PRON
,	,	PUNCTclause
de	de	ADP
écrire	écrire	VERB
un	un	DET
petit	petit	ADJ
mot	mot	NOUN
au	au	ADP_DET
capitaine	capitaine	NOUN
de	de	ADP
gendarmerie	gendarmerie	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
au	au	ADP_DET
chef	chef	NOUN
de	de	ADP
brigade	brigade	NOUN
de	de	ADP
dragons	dragon	NOUN
qui	qui	PRON
avait	avoir	AUX
fait	faire	VERB
avec	avec	ADP
lui	lui	PRON
l'	le	DET
expédition	expédition	NOUN
de	de	ADP
Seillon	Seillon	PROPN
:	:	PUNCTclause
leur	leur	DET
honneur	honneur	NOUN
était	être	AUX
engagé	engager	VERB
dans	dans	ADP
l'	le	DET
affaire	affaire	NOUN
;	;	PUNCTclause
on	on	PRON
cernait	cerner	VERB
M.	M.	PROPN
de	de	ADP
Valensolle	Valensolle	PROPN
dans	dans	ADP
son	son	DET
lit	lit	NOUN
,	,	PUNCTclause
on	on	PRON
en	en	PRON
était	être	AUX
quitte	quitte	ADJ
pour	pour	ADP
deux	deux	NUM
coups de pistolet	coups de pistolet	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
pour	pour	ADP
deux	deux	NUM
hommes	homme	NOUN
tués	tuer	VERB
ou	ou	CCONJ
blessés	blessé	NOUN
,	,	PUNCTclause
et	et	CCONJ
M.	M.	PROPN
de	de	ADP
Valensolle	Valensolle	PROPN
était	être	AUX
pris	prendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
l'	le	DET
arrestation	arrestation	NOUN
de	de	ADP
M.	M.	PROPN
de	de	ADP
Valensolle	Valensolle	PROPN
donnait	donner	VERB
l'	le	DET
éveil	éveil	NOUN
au	au	ADP_DET
reste	reste	NOUN
de	de	ADP
la	le	DET
troupe	troupe	NOUN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
mettait	mettre	VERB
à l'instant même	à l'instant même	ADV
en	en	ADP
sûreté	sûreté	NOUN
en	en	ADP
traversant	traverser	VERB
la	le	DET
frontière	frontière	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
valait	valoir	VERB
donc	donc	ADV
mieux	mieux	ADV
s'en tenir à	s'en tenir à	VERB
la	le	DET
première	premier	ADJ
idée	idée	NOUN
de	de	ADP
Roland	Roland	PROPN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
temporiser	temporiser	VERB
,	,	PUNCTclause
suivre	suivre	VERB
les	le	DET
différentes	différent	ADJ
pistes	piste	NOUN
qui	qui	PRON
devaient	devoir	VERB
converger	converger	VERB
à	à	ADP
un	un	DET
même	même	ADJ
centre	centre	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
au risque de	au risque de	ADP
un	un	DET
véritable	véritable	ADJ
combat	combat	NOUN
,	,	PUNCTclause
jeter	jeter	VERB
le	le	DET
filet	filet	NOUN
sur	sur	ADP
toute	tout	ADJ
la	le	DET
compagnie	compagnie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pour	pour	ADP
cela	cela	PRON
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
fallait	falloir	VERB
point	point	ADV
arrêter	arrêter	VERB
M.	M.	PROPN
de	de	ADP
Valensolle	Valensolle	PROPN
;	;	PUNCTclause
il	il	PRON
fallait	falloir	VERB
continuer	continuer	VERB
de	de	ADP
le	le	DET
suivre	suivre	VERB
dans	dans	ADP
son	son	DET
prétendu	prétendu	ADJ
voyage	voyage	NOUN
à	à	ADP
Genève	Genève	PROPN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
était	être	AUX
,	,	PUNCTclause
vraisemblablement	vraisemblablement	ADV
,	,	PUNCTclause
que	que	SCONJ
un	un	DET
prétexte	prétexte	NOUN
pour	pour	ADP
dérouter	dérouter	VERB
les	le	DET
investigations	investigation	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
fut	être	AUX
convenu	convenir	VERB
cette fois ci	cette fois ci	ADV
que	que	SCONJ
Roland	Roland	PROPN
,	,	PUNCTclause
qui	qui	PRON
,	,	PUNCTclause
si	si	ADV
bien	bien	ADV
déguisé	déguiser	VERB
que	que	SCONJ
il	il	PRON
fût	être	AUX
,	,	PUNCTclause
pouvait	pouvoir	VERB
être	être	AUX
reconnu	reconnaître	VERB
,	,	PUNCTclause
resterait	rester	VERB
au	au	ADP_DET
pavillon	pavillon	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
ce	ce	PRON
seraient	être	AUX
Michel	Michel	PROPN
et	et	CCONJ
Jacques	Jacques	PROPN
qui	qui	PRON
,	,	PUNCTclause
pour	pour	ADP
cette	ce	DET
nuit	nuit	NOUN
,	,	PUNCTclause
détourneraient	détourner	VERB
le	le	DET
gibier	gibier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Selon	selon	ADP
toute	toute	DET
probabilité	probabilité	NOUN
,	,	PUNCTclause
M.	M.	PROPN
de	de	ADP
Valensolle	Valensolle	PROPN
ne	ne	ADV
se	se	PRON
mettrait	mettre	VERB
en	en	ADP
voyage	voyage	NOUN
que	que	SCONJ
à	à	ADP
la	le	DET
nuit	nuit	NOUN
close	clos	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Roland	Roland	PROPN
se	se	PRON
fit	faire	AUX
renseigner	renseigner	VERB
sur	sur	ADP
la	le	DET
vie	vie	NOUN
que	que	PRON
menait	mener	VERB
sa	son	DET
sœur	sœur	NOUN
depuis	depuis	ADP
le	le	DET
départ	départ	NOUN
de	de	ADP
sa	son	DET
mère	mère	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Depuis	depuis	ADP
le	le	DET
départ	départ	NOUN
de	de	ADP
sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
Amélie	Amélie	PROPN
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
une	un	DET
seule	seul	ADJ
fois	fois	NOUN
quitté	quitter	VERB
le	le	DET
château	château	NOUN
des	un	ADP_DET
Noires-Fontaines	Noires-Fontaines	PROPN
.	.	PUNCTsent
Ses	son	DET
habitudes	habitude	NOUN
étaient	être	AUX
les	le	DET
mêmes	même	ADJ
,	,	PUNCTclause
moins	moins	ADV
les	le	DET
sorties	sortie	NOUN
habituelles	habituel	ADJ
que	que	SCONJ
elle	elle	PRON
faisait	faire	VERB
avec	avec	ADP
madame	madame	NOUN
de	de	ADP
Montrevel	Montrevel	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
se	se	PRON
levait	lever	VERB
à	à	ADP
sept	sept	NUM
