# columns = TERM LEMMA POS
# identifier = dumas1856-51
# creator = Dumas, Alexandre
# created = 1857
# isPartOf = Les Compagnons de Jéhu
# title = LI – L’armée de réserve

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
—	—	PUNCTclause
l'	le	DET
armée	armée	NOUN
de	de	ADP
réserve	réserve	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
premier consul	premier consul	NOUN
en	en	ADP
était	être	AUX
arrivé	arriver	VERB
au	au	ADP_DET
point	point	NOUN
que	que	SCONJ
il	il	PRON
désirait	désirer	VERB
:	:	PUNCTclause
les	le	DET
compagnons	compagnon	NOUN
de	de	ADP
Jéhu	Jéhu	PROPN
étaient	être	AUX
détruits	détruire	VERB
,	,	PUNCTclause
la	le	DET
Vendée	Vendée	PROPN
était	être	AUX
pacifiée	pacifier	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Tout	tout	PRON
en	en	ADP
demandant	demander	VERB
la	le	DET
paix	paix	NOUN
à	à	ADP
l'	le	DET
Angleterre	Angleterre	PROPN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
espéré	espérer	VERB
la	le	DET
guerre	guerre	NOUN
;	;	PUNCTclause
il	il	PRON
comprenait	comprendre	VERB
très	très	ADV
bien	bien	ADV
que	que	SCONJ
,	,	PUNCTclause
né	naître	VERB
de	de	ADP
la	le	DET
guerre	guerre	NOUN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
grandir	grandir	VERB
que	que	ADV
par	par	ADP
la	le	DET
guerre	guerre	NOUN
;	;	PUNCTclause
il	il	PRON
semblait	sembler	VERB
deviner	deviner	VERB
que	que	SCONJ
un	un	DET
jour	jour	NOUN
un	un	DET
poète	poète	NOUN
l'	le:PRON	PRON
appellerait	appeler	VERB
le	le	DET
géant	géant	NOUN
des	un	ADP_DET
batailles	bataille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
cette	ce	DET
guerre	guerre	NOUN
,	,	PUNCTclause
comment	comment	ADV
la	le	DET
ferait	faire	VERB
il	il	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
article	article	NOUN
de	de	ADP
la	le	DET
constitution	constitution	NOUN
de	de	ADP
l'	le	DET
an	an	NOUN
VIII	VIII	NUM
se	se	PRON
opposait	opposer	VERB
à	à	ADP
ce	ce	PRON
que	que	SCONJ
le	le	DET
premier consul	premier consul	NOUN
commandât	commander	VERB
les	le	DET
armées	armée	NOUN
en	en	ADP
personne	personne	NOUN
et	et	CCONJ
quittât	quitter	VERB
la	le	DET
France	France	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
toujours	toujours	ADV
dans	dans	ADP
les	le	DET
constitutions	constitution	NOUN
un	un	DET
article	article	NOUN
absurde	absurde	ADJ
;	;	PUNCTclause
bien	bien	ADV
heureuses	heureux	ADJ
les	le	DET
constitutions	constitution	NOUN
où	où	PRON
il	il	PRON
ne	ne	ADV
y	y	PRON
en	en	PRON
a	avoir	VERB
que	que	SCONJ
un	un	DET
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
premier consul	premier consul	NOUN
trouva	trouver	VERB
un	un	DET
moyen	moyen	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
établit	établir	VERB
un	un	DET
camp	camp	NOUN
à	à	ADP
Dijon	Dijon	PROPN
;	;	PUNCTclause
l'	le	DET
armée	armée	NOUN
qui	qui	PRON
devait	devoir	VERB
occuper	occuper	VERB
ce	ce	DET
camp	camp	NOUN
prendrait	prendre	VERB
le	le	DET
nom	nom	NOUN
de	de	ADP
armée	armée	NOUN
de	de	ADP
réserve	réserve	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
noyau	noyau	NOUN
de	de	ADP
cette	ce	DET
armée	armée	NOUN
fut	être	AUX
formé	former	VERB
par	par	ADP
ce	ce	DET
que	que	PRON
l'on	on	PRON
put	pouvoir	VERB
tirer	tirer	VERB
de	de	ADP
la	le	DET
Vendée	Vendée	PROPN
et	et	CCONJ
de	de	ADP
la	le	DET
Bretagne	Bretagne	PROPN
,	,	PUNCTclause
trente	trente	NUM
mille	mille	NUM
hommes	homme	NOUN
à peu près	à peu près	ADV
.	.	PUNCTsent
Vingt	Vingt	NUM
mille	mille	NUM
conscrits	conscrit	NOUN
y	y	PRON
furent	être	AUX
incorporés	incorporer	VERB
.	.	PUNCTsent
Le	le	DET
général	général	NOUN
Berthier	Berthier	PROPN
en	en	ADP
fut	être	AUX
nommé	nommer	VERB
commandant	commandant	NOUN
en	en	ADP
chef	chef	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
plan	plan	NOUN
que	que	PRON
avait	avoir	VERB
,	,	PUNCTclause
un	un	DET
jour	jour	NOUN
