# columns = TERM LEMMA POS PROB
# identifier = dumas1858b-30
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Louves de Machecoul
# title = XXX. L’alarme

↵↵↵	↵↵↵	PUNCTstruct
XXX	XXX	NUM
.	.	PUNCTsent
l'	le	DET
alarme	alarme	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Celui	celui	PRON
que	que	SCONJ
nous	nous	PRON
venons	venir	VERB
de	de	DET
introduire	introduire	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
plutôt	plutôt	ADV
qui	qui	PRON
se	se	PRON
introduisait	introduire	VERB
lui-même	lui-même	PRON
dans	dans	ADP
le	le	DET
salon	salon	NOUN
du	du	ADP_DET
marquis	marquis	NOUN
de	de	DET
Souday	Souday	PROPN
,	,	PUNCTclause
était	être	AUX
le	le	DET
commissaire	commissaire	NOUN
général	général	ADJ
de	de	DET
la	le	AUX
future	futur	ADJ
armée	armée	NOUN
vendéenne	vendéen	ADJ
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
changé	changer	VERB
son	son	DET
nom	nom	NOUN
,	,	PUNCTclause
fort	fort	ADV
connu	connaître	VERB
au	au	ADP_DET
barreau	barreau	NOUN
de	de	DET
Nantes	Nantes	PROPN
,	,	PUNCTclause
contre	contre	ADP
le	le	DET
pseudonyme	pseudonyme	NOUN
de	de	DET
Pascal	Pascal	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Plusieurs	plusieurs	DET
fois	fois	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
été	être	AUX
à	à	ADP
l'	le	DET
étranger	étranger	NOUN
pour	pour	ADP
y	y	PRON
conférer	conférer	VERB
avec	avec	ADP
Madame	madame	NOUN
et	et	CCONJ
la	le	DET
connaissait	connaître	NOUN
parfaitement	parfaitement	ADV
.	.	PUNCTsent
il y a	il y a	VERB
deux	deux	NUM
mois	mois	NOUN
à peine	à peine	ADV
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
fait	faire	AUX
un	un	DET
dernier	dernier	ADJ
voyage	voyage	NOUN
de	de	DET
ce	ce	PRON
genre	genre	NOUN
,	,	PUNCTclause
et	et	CCONJ
que	que	SCONJ
,	,	PUNCTclause
portant	porter	VERB
à	à	ADP
Son	son	DET
Altesse Royale	Altesse Royale	NOUN
des	un	DET
nouvelles	nouvelle	NOUN
