# columns = TERM LEMMA POS PROB
# identifier = dumas1858b-79
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Louves de Machecoul
# title = LXXIX. Ce qui se passait dans deux maisons inhabitées

↵↵↵	↵↵↵	PUNCTstruct
Lxxix	Lxxix	PROPN
.	.	PUNCTsent
Ce	ce	PRON
qui	qui	PRON
se	se	PRON
passait	passer	VERB
dans	dans	ADP
deux	deux	NUM
maisons	maison	NOUN
inhabitées	inhabité	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Maître	maître	NOUN
Jacques	Jacques	PROPN
ne	ne	ADV
se	se	PRON
était	être	AUX
point	point	ADV
trompé	tromper	VERB
dans	dans	ADP
ses	son	DET
présomptions	présomption	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
Jean	Jean	PROPN
Oullier	Oullier	PROPN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
mort	mourir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
balle	balle	NOUN
que	que	PRON
Courtin	Courtin	PROPN
lui	lui	PRON
avait	avoir	AUX
envoyée	envoyer	VERB
au	au	ADP_DET
hasard	hasard	NOUN
dans	dans	ADP
le	le	DET
buisson	buisson	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
pour	pour	ADP
ainsi	ainsi	ADV
dire	dire	VERB
,	,	PUNCTclause
au	au	ADP_DET
jugé	juger	VERB
,	,	PUNCTclause
lui	lui	PRON
avait	avoir	AUX
troué	trouer	VERB
la	le	DET
poitrine	poitrine	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
quand	quand	SCONJ
la	le	DET
veuve	veuf	NOUN
Picaut	Picaut	PROPN
,	,	PUNCTclause
dont	dont	PRON
le	le	DET
métayer	métayer	NOUN
et	et	CCONJ
son	son	DET
acolyte	acolyte	NOUN
avaient	avoir	AUX
entendu	entendre	VERB
rouler	rouler	VERB
la	le	DET
voiture	voiture	NOUN
,	,	PUNCTclause
était	être	AUX
arrivée	arrivée	NOUN
,	,	PUNCTclause
elle	elle	PRON
avait	avoir	AUX
cru	croire	VERB
ne	ne	ADV
relever	relever	VERB
que	que	SCONJ
un	un	DET
cadavre	cadavre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Par	par	ADP
un	un	DET
sentiment	sentiment	NOUN
de	de	ADP
charité	charité	NOUN
assez	assez	ADV
naturel	naturel	ADJ
chez	chez	ADP
une	un	DET
paysanne	paysan	NOUN
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
voulut	vouloir	VERB
pas	pas	ADV
que	que	SCONJ
le	le	DET
corps	corps	NOUN
de	de	ADP
un	un	DET
homme	homme	NOUN
pour	pour	ADP
lequel	lequel	PRON
son	son	DET
mari	mari	NOUN
,	,	PUNCTclause
malgré	malgré	ADP
leur	leur	DET
dissidence	dissidence	NOUN
de	de	ADP
opinion	opinion	NOUN
politique	politique	ADJ
,	,	PUNCTclause
avait	avoir	AUX
toujours	toujours	ADV
témoigné	témoigner	VERB
une	un	DET
profonde	profond	ADJ
sympathie	sympathie	NOUN
,	,	PUNCTclause
devînt	devenir	VERB
la	le	DET
pâture	pâture	NOUN
des	un	ADP_DET
oiseaux	oiseau	NOUN
de	de	ADP
proie	proie	NOUN
et	et	CCONJ
des	un	DET
bêtes	bête	NOUN
de	de	ADP
carnage	carnage	NOUN
;	;	PUNCTclause
elle	elle	PRON
voulut	vouloir	VERB
que	que	SCONJ
le	le	DET
Vendéen	Vendéen	PROPN
reposât	reposer	VERB
en	en	ADP
terre	terre	NOUN
sainte	saint	ADJ
,	,	PUNCTclause
et	et	CCONJ
elle	elle	PRON
le	le:PRON	PRON
