# columns = TERM LEMMA POS PROB
# identifier = dumas1858c-26
# creator = Dumas, Alexandre
# created = 1858
# isPartOf = Madame de Chamblay
# title = XXV

↵↵↵	↵↵↵	PUNCTstruct
XXV	XXV	X
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
restai	rester	VERB
appuyé	appuyer	VERB
au	au	ADP_DET
platane	platane	NOUN
;	;	PUNCTclause
Edmée	Edmée	PROPN
,	,	PUNCTclause
debout	debout	ADV
près de	près de	ADP
moi	moi	PRON
,	,	PUNCTclause
avait	avoir	AUX
passé	passer	VERB
son	son	DET
bras	bras	NOUN
sous	sous	ADP
les miens	les miens	PRON
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
serrais	serrer	VERB
son	son	DET
bras	bras	NOUN
contre	contre	ADP
mon	mon	DET
cœur	cœur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
bas	bas	NOUN
de	de	ADP
ma	mon	DET
figure	figure	NOUN
effleurait	effleurer	VERB
son	son	DET
front	front	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
brise	brise	NOUN
de	de	ADP
la	le	DET
nuit	nuit	NOUN
,	,	PUNCTclause
en	en	ADP
soulevant	soulever	VERB
ses	son	DET
cheveux	cheveu	NOUN
,	,	PUNCTclause
les	le	DET
faisait	faire	AUX
flotter	flotter	VERB
sur	sur	ADP
mon	mon	DET
visage	visage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
doux	doux	ADJ
parfum	parfum	NOUN
,	,	PUNCTclause
parfum	parfum	NOUN
étrange	étrange	ADJ
,	,	PUNCTclause
composé	composer	VERB
de	de	ADP
celui	celui	PRON
de	de	ADP
la	le	DET
violette	violet	NOUN
et	et	CCONJ
du	du	ADP_DET
géranium	géranium	NOUN
,	,	PUNCTclause
montait	monter	VERB
à	à	ADP
moi	moi	PRON
,	,	PUNCTclause
émané	émaner	VERB
de	de	ADP
elle	elle	PRON
,	,	PUNCTclause
et	et	CCONJ
me	me	PRON
enivrait	enivrer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
mouvement	mouvement	NOUN
violent	violent	ADJ
qui	qui	PRON
,	,	PUNCTclause
pendant	pendant	ADP
quelques	quelque	DET
minutes	minute	NOUN
,	,	PUNCTclause
me	me	PRON
avait	avoir	AUX
