# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-050
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = L. Celui qui revient

↵↵↵	↵↵↵	PUNCTstruct
L.	L.	PROPN
Celui	celui	PRON
qui	qui	PRON
revient	revenir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Lorsque	lorsque	SCONJ
Nanette	Nanette	PROPN
ouvrit	ouvrir	VERB
la	le	DET
porte	porte	NOUN
à	à	ADP
Colomban	Colomban	PROPN
,	,	PUNCTclause
il	il	PRON
était	être	AUX
presque	presque	ADV
aussi	aussi	ADV
pâle	pâle	ADJ
que	que	SCONJ
Carmélite	Carmélite	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
voulut	vouloir	VERB
demander	demander	VERB
Camille	Camille	PROPN
,	,	PUNCTclause
mais	mais	CCONJ
sa	son	DET
voix	voix	NOUN
mourut	mourir	VERB
sur	sur	ADP
ses	son	DET
lèvres	lèvre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
M.	M.	PROPN
de	de	DET
Rozan	Rozan	PROPN
,	,	PUNCTclause
n'est-ce pas	n'est-ce pas	ADV
?	?	PUNCTsent
dit	dire	VERB
Nanette	Nanette	PROPN
venant	venir	VERB
à	à	ADP
son	son	DET
secours	secours	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
,	,	PUNCTclause
murmura	murmurer	VERB
Colomban	Colomban	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Par	par	NOUN
ici	ici	ADV
,	,	PUNCTclause
monsieur	monsieur	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
Nanette	Nanette	PROPN
se	se	PRON
mit	mettre	VERB
en	en	ADP
marche	marche	NOUN
,	,	PUNCTclause
suivie	suivre	VERB
du	du	ADP_DET
Breton	Breton	PROPN
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
conduisit	conduire	VERB
droit	droit	NOUN
