# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-196
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CXCVI. L’idée et l’homme.

↵↵↵	↵↵↵	PUNCTstruct
Cxcvi	Cxcvi	PROPN
.	.	PUNCTsent
l'	le	DET
idée	idée	NOUN
et	et	CCONJ
l'	le	DET
homme	homme	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
M.	M.	PUNCT
Sarranti	Sarranti	PROPN
montra	montrer	VERB
un	un	DET
tabouret	tabouret	NOUN
à	à	ADP
l'	le	DET
abbé	abbé	NOUN
Dominique	Dominique	PROPN
,	,	PUNCTclause
fit	faire	VERB
,	,	PUNCTclause
avec	avec	ADP
un	un	DET
reste	reste	NOUN
de	de	ADP
agitation	agitation	NOUN
,	,	PUNCTclause
trois	trois	NUM
ou	ou	CCONJ
quatre	quatre	NUM
tours	tour	NOUN
dans	dans	ADP
l'	le	DET
étroite	étroit	ADJ
cellule	cellule	NOUN
;	;	PUNCTclause
puis	puis	CCONJ
,	,	PUNCTclause
ayant	avoir	AUX
apporté	apporter	VERB
un	un	DET
tabouret	tabouret	NOUN
près de	près de	ADP
son	son	DET
fils	fils	NOUN
et	et	CCONJ
se	se	PRON
étant	être	AUX
assis	asseoir	VERB
lui-même	lui-même	PRON
,	,	PUNCTclause
il	il	PRON
recueillit	recueillir	VERB
ses	son	DET
esprits	esprit	NOUN
et	et	CCONJ
parla	parler	VERB
ainsi	ainsi	ADV
au	au	ADP_DET
pauvre	pauvre	NOUN
moine	moine	NOUN
,	,	PUNCTclause
qui	qui	PRON
l'	le:PRON	PRON
écoutait	écouter	VERB
la	le	DET
tête	tête	NOUN
basse	bas	ADJ
et	et	CCONJ
le	le	DET
cœur	cœur	NOUN
serré	serré	ADJ
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
fils	fils	NOUN
,	,	PUNCTclause
avec	avec	ADP
le	le	DET
regret	regret	NOUN
de	de	ADP
nous	nous	PRON
séparer	séparer	VERB
,	,	PUNCTclause
il	il	PRON
me	me	PRON
reste	rester	VERB
,	,	PUNCTclause
au moment de	au moment de	ADP
mourir	mourir	VERB
,	,	PUNCTclause
une	un	DET
sorte	sorte	NOUN
de	de	ADP
repentir	repentir	VERB
,	,	PUNCTclause
ou	ou	CCONJ
plutôt	plutôt	ADV
de crainte de	de crainte de	ADP
avoir	avoir	VERB
mal	mal	ADV
employé	employer	VERB
ma	mon	DET
vie	vie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
mon	mon	DET
père	père	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
Dominique	Dominique	PROPN
en	en	ADP
relevant	relever	VERB
la	le	DET
tête	tête	NOUN
et	et	CCONJ
en	en	ADP
essayant	essayer	VERB
de	de	ADP
prendre	prendre	VERB
les	le	DET
mains	main	NOUN
de	de	ADP
son	son	DET
père	père	NOUN
,	,	PUNCTclause
que	que	SCONJ
celui	celui	PRON
retira	retirer	VERB
,	,	PUNCTclause
moins	moins	ADV
par	par	ADP
un	un	DET
mouvement	mouvement	NOUN
de	de	ADP
froideur	froideur	NOUN
que	que	SCONJ
,	,	PUNCTclause
au contraire	au contraire	ADV
,	,	PUNCTclause
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
donner	donner	VERB
à	à	ADP
son	son	DET
fils	fils	NOUN
cette	ce	DET
prise	prise	NOUN
magnétique	magnétique	ADJ
sur	sur	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Sarranti	Sarranti	PROPN
reprit	reprendre	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Et	et	CCONJ
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
écoutez	écouter	VERB
moi	moi	PRON
bien	bien	ADV
,	,	PUNCTclause
Dominique	Dominique	PROPN
,	,	PUNCTclause
et	et	CCONJ
jugez	juger	VERB
moi	moi	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mon	mon	DET
père	père	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Jugez	juger	VERB
moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
le	le:PRON	PRON
répète	répéter	VERB
…	…	PUNCTsent
À	à	ADP
votre	votre	DET
avis	avis	NOUN
—	—	PUNCTclause
car	car	CCONJ
je	je	PRON
me	me	PRON
plais	plaire	VERB
à	à	ADP
le	le	DET
dire	dire	NOUN
,	,	PUNCTclause
mon	mon	DET
fils	fils	NOUN
,	,	PUNCTclause
vous	vous	PRON
êtes	être	AUX
un	un	DET
homme	homme	NOUN
de	de	ADP
haute	haut	ADJ
moralité	moralité	NOUN
—	—	PUNCTclause
,	,	PUNCTclause
à	à	ADP
votre	votre	DET
avis	avis	NOUN
,	,	PUNCTclause
ai	avoir	AUX
je	je	PRON
bien	bien	ADV
ou	ou	CCONJ
mal	mal	ADV
employé	employer	VERB
l'	le	DET
intelligence	intelligence	NOUN
que	que	SCONJ
Dieu	Dieu	PROPN
me	me	PRON
avait	avoir	AUX
donnée	donner	VERB
pour	pour	ADP
être	être	AUX
utile	utile	ADJ
aux	au	ADP_DET
autres	autre	ADJ
?…	?…	PUNCTsent
Parfois	parfois	ADV
,	,	PUNCTclause
je	je	PRON
doute	douter	VERB
…	…	PUNCTsent
écoutez	écouter	VERB
moi	moi	PRON
…	…	PUNCTsent
et	et	CCONJ
il	il	PRON
me	me	PRON
semble	sembler	VERB
que	que	SCONJ
cette	ce	DET
intelligence	intelligence	NOUN
ne	ne	ADV
leur	leur	PRON
a	avoir	AUX
servi	servir	VERB
de	de	ADP
rien	rien	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
autre chose	autre chose	NOUN
est	être	AUX
de	de	ADP
concourir	concourir	VERB
autant	autant	ADV
que	que	SCONJ
il	il	PRON
est	être	AUX
en soi	en soi	ADV
à	à	ADP
l'	le	DET
œuvre	œuvre	NOUN
de	de	ADP
civilisation	civilisation	NOUN
que	que	SCONJ
nous	nous	PRON
sommes	être	AUX
,	,	PUNCTclause
les	le	DET
uns	un	PRON
et	et	CCONJ
les	le	DET
autres	autre	PRON
,	,	PUNCTclause
appelés	appeler	VERB
à	à	ADP
faire	faire	VERB
progresser	progresser	VERB
;	;	PUNCTclause
autre chose	autre chose	NOUN
est	être	AUX
de	de	ADP
dévouer	dévouer	VERB
sa	son	DET
vie	vie	NOUN
à	à	ADP
une	un	DET
seule	seul	ADJ
idée	idée	NOUN
,	,	PUNCTclause
ou	ou	CCONJ
plutôt	plutôt	ADV
à	à	ADP
un	un	DET
seul	seul	ADJ
homme	homme	NOUN
,	,	PUNCTclause
si	si	ADV
grand	grand	ADJ
que	que	SCONJ
l'	le	DET
homme	homme	NOUN
soit	soit	CCONJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	INTJ
!	!	PUNCTsent
mon	mon	DET
père	père	NOUN
!	!	PUNCTsent
se	se	PRON
écria	écrier	VERB
le	le	DET
moine	moine	NOUN
fixant	fixer	VERB
un	un	DET
œil	œil	NOUN
ardent	ardent	ADJ
sur	sur	ADP
M.	M.	PROPN
Sarranti	Sarranti	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Écoutez	écouter	VERB
moi	moi	PRON
,	,	PUNCTclause
mon	mon	DET
fils	fils	NOUN
,	,	PUNCTclause
insista	insister	VERB
la	le	DET
prisonnier	prisonnier	NOUN
.	.	PUNCTsent
hé	hé	INTJ
bien	bien	ADV
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
,	,	PUNCTclause
comme	comme	SCONJ
je	je	PRON
vous	vous	PRON
le	le:PRON	PRON
disais	dire	VERB
,	,	PUNCTclause
un	un	DET
moment	moment	NOUN
de	de	ADP
doute	doute	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
crains	craindre	VERB
de	de	ADP
me	me	PRON
être	être	AUX
trompé	tromper	VERB
de	de	ADP
chemin	chemin	NOUN
.	.	PUNCTsent
sur le point de	sur le point de	ADP
quitter	quitter	VERB
ce	ce	DET
monde	monde	NOUN
,	,	PUNCTclause
je	je	PRON
fais	faire	VERB
mon	mon	DET
examen	examen	NOUN
de	de	ADP
conscience	conscience	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ai	avoir	VERB
du	du	ADP_DET
bonheur	bonheur	NOUN
à	à	ADP
le	le	DET
faire	faire	AUX
devant	devant	ADP
vous	vous	PRON
.	.	PUNCTsent
Croyez	croire	VERB
vous	vous	PRON
que	que	SCONJ
cette	ce	DET
énergie	énergie	NOUN
que	que	SCONJ
je	je	PRON
avais	avoir	VERB
en	en	ADP
moi	moi	PRON
eût	avoir	AUX
pu	pouvoir	VERB
être	être	AUX
mieux	mieux	ADV
employée	employer	VERB
?	?	PUNCTsent
Ai	avoir	AUX
je	je	PRON
fait	faire	VERB
le	le	DET
meilleur	meilleur	ADJ
usage	usage	NOUN
que	que	SCONJ
je	je	PRON
pouvais	pouvoir	VERB
faire	faire	VERB
des	un	DET
facultés	faculté	NOUN
dont	dont	PRON
Dieu	Dieu	PROPN
me	me	PRON
avait	avoir	AUX
doué	doué	ADJ
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
me	me	PRON
étant	être	AUX
proposé	proposer	VERB
une	un	DET
tâche	tâche	NOUN
,	,	PUNCTclause
l'	le	DET
ai	avoir	AUX
je	je	PRON
bien	bien	ADV
accomplie	accomplir	VERB
?	?	PUNCTsent
Répondez	répondre	VERB
moi	moi	PRON
,	,	PUNCTclause
Dominique	Dominique	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pour	pour	ADP
la	le	DET
seconde	second	ADJ
fois	fois	NOUN
,	,	PUNCTclause
Dominique	Dominique	PROPN
se	se	PRON
laissa	laisser	VERB
glisser	glisser	VERB
aux	au	ADP_DET
genoux	genou	NOUN
de	de	ADP
son	son	DET
père	père	NOUN
.	.	PUNCTsent
