# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-223
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCXXIII. Les amours de Babylas et de Caramelle.

↵↵↵	↵↵↵	PUNCTstruct
Ccxxiii	Ccxxiii	PROPN
.	.	PUNCTsent
Les	le	DET
amours	amour	NOUN
de	de	DET
Babylas	Babylas	PROPN
et	et	CCONJ
de	de	DET
Caramelle	Caramelle	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
apercevant	apercevoir	VERB
les	le	DET
premiers	premier	ADJ
rayons	rayer	VERB
du	du	ADP_DET
jour	jour	NOUN
,	,	PUNCTclause
Babylas	Babylas	PROPN
sauta	sauter	VERB
hors de	hors de	ADP
son	son	DET
tonneau	tonneau	NOUN
.	.	PUNCTsent
Nous	nous	PRON
devons	devoir	VERB
avouer	avouer	VERB
que	que	SCONJ
,	,	PUNCTclause
de	de	DET
habitude	habitude	NOUN
,	,	PUNCTclause
il	il	PRON
donnait	donner	VERB
peu de	peu de	DET
temps	temps	NOUN
à	à	ADP
sa	son	DET
toilette	toilette	NOUN
;	;	PUNCTclause
il	il	PRON
y	y	PRON
en	en	ADP
donna	donner	VERB
moins	moins	ADV
encore	encore	ADV
ce	ce	DET
jour	jour	NOUN
que	que	SCONJ
les	le	DET
autres	autre	ADJ
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
se	se	PRON
précipita	précipiter	VERB
vers	vers	ADP
la	le	DET
fenêtre	fenêtre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Avec	avec	ADP
le	le	DET
jour	jour	NOUN
,	,	PUNCTclause
l'	le	DET
espérance	espérance	NOUN
lui	lui	PRON
était	être	AUX
revenue	revenir	VERB
.	.	PUNCTsent
puisque	puisque	SCONJ
elle	elle	PRON
avait	avoir	AUX
passé	passé	ADP
hier	hier	ADV
,	,	PUNCTclause
pourquoi	pourquoi	ADV
ne	ne	ADV
passerait	passer	VERB
elle	elle	PRON
pas	pas	ADV
aujourd'hui	aujourd'hui	ADV
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
La	le	DET
fenêtre	fenêtre	NOUN
était	être	AUX
fermée	fermer	VERB
,	,	PUNCTclause
et	et	CCONJ
avec	avec	ADP
raison	raison	NOUN
:	:	PUNCTclause
il	il	PRON
pleuvait	pleuvoir	VERB
à	à	ADP
verse	verse	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
espère	espérer	VERB
bien	bien	ADV
que	que	SCONJ
on	on	PRON
ne	ne	ADV
va	aller	VERB
pas	pas	ADV
ouvrir	ouvrir	VERB
la	le	DET
fenêtre	fenêtre	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
lévrier	lévrier	NOUN
en	en	ADP
grelottant	grelotter	NOUN
à	à	ADP
cette	ce	DET
seule	seul	ADJ
pensée	pensée	NOUN
;	;	PUNCTclause
il	il	PRON
fait	faire	AUX
un	un	DET
temps	temps	NOUN
à	à	ADP
ne	ne	ADV
pas	pas	ADV
mettre	mettre	VERB
un	un	DET
homme	homme	NOUN
à	à	ADP
la	le	DET
porte	porte	NOUN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
disons	dire	VERB
,	,	PUNCTclause
nous	nous	PRON
autres	autre	PRON
hommes	homme	NOUN
:	:	PUNCTclause
un	un	DET
chien	chien	NOUN
;	;	PUNCTclause
les	le	DET
chiens	chien	ADJ
disent	dire	NOUN
:	:	PUNCTclause
un	un	DET
homme	homme	NOUN
;	;	PUNCTclause
et	et	CCONJ
je	je	PRON
crois	croire	VERB
que	que	SCONJ
ce	ce	PRON
sont	être	AUX
les	le	DET
chiens	chien	ADJ
qui	qui	PRON
ont	avoir	VERB
raison	raison	NOUN
,	,	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
par	par	ADP
les	le	DET
mauvais	mauvais	ADJ
temps	temps	NOUN
,	,	PUNCTclause
je	je	PRON
ai	avoir	AUX
toujours	toujours	ADV
vu	vu	ADP
dehors	dehors	NOUN
plus	plus	ADV
de	de	DET
hommes	homme	NOUN
que	que	ADV
de	de	DET
chiens	chien	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ho	ho	NOUN
!	!	PUNCTsent
ce	ce	PRON
serait	être	AUX
trop	trop	ADV
fort	fort	ADJ
!	!	PUNCTsent
dit	dire	VERB
le	le	DET
bouledogue	bouledogue	NOUN
,	,	PUNCTclause
répondant	répondre	VERB
au	au	ADP_DET
lévrier	lévrier	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Hum	hum	NOUN
!	!	PUNCTsent
firent	faire	AUX
le	le	DET
barbet	barbet	NOUN
et	et	CCONJ
l'	le	DET
épagneul	épagneul	NOUN
,	,	PUNCTclause
cela	cela	PRON
ne	ne	ADV
nous	nous	PRON
étonnerait	étonner	VERB
point	point	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ils	ils	PRON
en	en	ADP
parlaient	parler	VERB
,	,	PUNCTclause
eux	eux	PRON
,	,	PUNCTclause
un	un	DET
peu	peu	NOUN
plus	plus	ADV
à	à	ADP
leur	leur	DET
aise	aise	NOUN
,	,	PUNCTclause
leur	leur	DET
poil	poil	NOUN
formant	former	VERB
fourrure	fourrure	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Si	si	SCONJ
Babylas	Babylas	PROPN
fait	faire	AUX
