# columns = TERM LEMMA POS PROB
# identifier = dumas1859b-329
# creator = Dumas, Alexandre
# created = 1859
# isPartOf = Les Mohicans de Paris
# title = CCCXXIX. Liquidation.

↵↵↵	↵↵↵	PUNCTstruct
Cccxxix	Cccxxix	PROPN
.	.	PUNCTsent
Liquidation	liquidation	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Dût	devoir	VERB
on	on	PRON
traiter	traiter	VERB
notre	notre	DET
opinion	opinion	NOUN
de	de	ADP
paradoxale	paradoxal	ADJ
,	,	PUNCTclause
nous	nous	PRON
affirmons	affirmer	VERB
que	que	SCONJ
le	le	DET
meilleur	meilleur	ADJ
gouvernement	gouvernement	NOUN
est	être	AUX
celui	celui	PRON
où	où	PRON
l'on	on	PRON
pourra	pouvoir	VERB
se	se	PRON
passer	passer	VERB
de	de	ADP
ministres	ministre	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Les	le	DET
hommes	homme	NOUN
de	de	ADP
notre	notre	DET
âge	âge	NOUN
qui	qui	PRON
ont	avoir	AUX
assisté	assister	VERB
aux	au	ADP_DET
luttes	lutte	NOUN
politiques	politique	ADJ
,	,	PUNCTclause
aux	au	ADP_DET
intrigues	intrigue	NOUN
ministérielles	ministériel	ADJ
de	de	ADP
la	le	DET
fin	fin	NOUN
de	de	ADP
l'	le	DET
année	année	NOUN
1827	1827	NUM
,	,	PUNCTclause
pour	pour	ADP
peu	peu	ADV
que	que	SCONJ
ils	ils	PRON
aient	avoir	AUX
gardé	garder	VERB
mémoire	mémoire	NOUN
des	un	ADP_DET
derniers	dernier	ADJ
soupirs	soupir	NOUN
de	de	ADP
la	le	DET
Restauration	restauration	NOUN
,	,	PUNCTclause
partageront	partager	VERB
notre	notre	DET
opinion	opinion	NOUN
,	,	PUNCTclause
nous	nous	PRON
ne	ne	ADV
en	en	PRON
doutons	douter	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
en effet	en effet	ADV
,	,	PUNCTclause
après	après	ADP
le	le	DET
ministère	ministère	NOUN
provisoire	provisoire	ADJ
,	,	PUNCTclause
où	où	PRON
étaient	être	AUX
entrés	entrer	VERB
M.	M.	PROPN
le	le	DET
maréchal	maréchal	NOUN
de	de	ADP
Lamothe-Houdon	Lamothe-Houdon	PROPN
et	et	CCONJ
M.	M.	PROPN
de	de	ADP
Marande	Marande	PROPN
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
avait	avoir	AUX
chargé	charger	VERB
M.	M.	PROPN
de	de	ADP
Chabrol	Chabrol	PROPN
de	de	ADP
composer	composer	VERB
un	un	DET
ministère	ministère	NOUN
définitif	définitif	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
voyant	voir	VERB
annoncé	annoncer	VERB
,	,	PUNCTclause
dans	dans	ADP
les	le	DET
journaux	journal	NOUN
du	du	ADP_DET
26	26	NUM
décembre	décembre	NOUN
,	,	PUNCTclause
que	que	PRON
M.	M.	PROPN
de	de	ADP
Chabrol	Chabrol	PROPN
partait	partir	VERB
pour	pour	ADP
la	le	DET
Bretagne	Bretagne	PROPN
,	,	PUNCTclause
tout le monde	tout le monde	NOUN
crut	croire	VERB
que	que	SCONJ
le	le	DET
cabinet	cabinet	NOUN
était	être	AUX
constitué	constituer	VERB
,	,	PUNCTclause
et	et	CCONJ
on	on	PRON
attendit	attendre	VERB
avec	avec	ADP
anxiété	anxiété	NOUN
l'	le	DET
insertion	insertion	NOUN
de	de	ADP
cette	ce	DET
nouvelle	nouveau	ADJ
au	au	ADP_DET
Moniteur	moniteur	NOUN
.	.	PUNCTsent
Nous	nous	PRON
disons	dire	VERB
avec	avec	ADP
anxiété	anxiété	NOUN
,	,	PUNCTclause
car	car	CCONJ
,	,	PUNCTclause
depuis	depuis	ADP
les	le	DET
émeutes	émeute	NOUN
des	un	ADP_DET
19	19	NUM
et	et	CCONJ
20	20	NUM
novembre	novembre	NOUN
,	,	PUNCTclause
tout	tout	PRON
Paris	Paris	PROPN
était	être	AUX
resté	rester	VERB
plongé	plonger	VERB
dans	dans	ADP
la	le	DET
stupeur	stupeur	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
chute	chute	NOUN
du	du	ADP_DET
ministère	ministère	NOUN
Villèle	Villèle	PROPN
,	,	PUNCTclause
qui	qui	PRON
donnait	donner	VERB
satisfaction	satisfaction	NOUN
à	à	ADP
la	le	DET
haine	haine	NOUN
publique	public	ADJ
,	,	PUNCTclause
ne	ne	ADV
faisait	faire	VERB
cependant	cependant	ADV
ni	ni	CCONJ
oublier	oublier	VERB
le	le	DET
passé	passé	NOUN
,	,	PUNCTclause
ni	ni	CCONJ
présager	présager	VERB
un	un	DET
meilleur	meilleur	ADJ
avenir	avenir	NOUN
.	.	PUNCTsent
Tous	tout	ADJ
les	le	DET
partis	parti	NOUN
se	se	PRON
agitaient	agiter	VERB
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
venait	venir	VERB
de	de	ADP
en	en	PRON
sourdre	sourdre	VERB
un	un	DET
nouveau	nouveau	ADJ
qui	qui	PRON
criait	crier	VERB
de	de	ADP
loin	loin	ADV
au	au	ADP_DET
duc	duc	NOUN
de	de	ADP
Orléans	Orléans	PROPN
de	de	ADP
être	être	AUX
le	le	DET
tuteur	tuteur	NOUN
de	de	ADP
la	le	DET
France	France	PROPN
et	et	CCONJ
de	de	ADP
sauver	sauver	VERB
ainsi	ainsi	ADV
la	le	DET
royauté	royauté	NOUN
de	de	ADP
un	un	DET
danger	danger	NOUN
imminent	imminent	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
en vain	en vain	ADV
cherchera	chercher	VERB
on	on	PRON
la	le	DET
nouvelle	nouveau	ADJ
dans	dans	ADP
le	le	DET
Moniteur	moniteur	NOUN
du	du	ADP_DET
27	27	NUM
,	,	PUNCTclause
du	du	ADP_DET
28	28	NUM
,	,	PUNCTclause
du	du	ADP_DET
29	29	NUM
,	,	PUNCTclause
du	du	DET
30	30	NUM
ou	ou	CCONJ
du	du	ADP_DET
31	31	NUM
décembre	décembre	NOUN
