# columns = TERM LEMMA POS PROB
# identifier = dumas1865-050
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = L. Ferdinand à Rome

↵↵↵	↵↵↵	PUNCTstruct
L.	L.	PROPN
Ferdinand	Ferdinand	PROPN
à	à	ADP
Rome	Rome	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comme	comme	ADP
l'	le	DET
avait	avoir	AUX
prévu	prévoir	VERB
le	le	DET
général	général	NOUN
Mack	Mack	PROPN
,	,	PUNCTclause
son	son	DET
envoyé	envoyé	NOUN
le	le	DET
rejoignit	rejoindre	NOUN
un	un	DET
peu	peu	NOUN
au-dessus	au-dessus	ADV
de	de	DET
Valmontone	Valmontone	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
général	général	NOUN
ne	ne	ADV
entendit	entendre	VERB
rien	rien	PRON
de	de	DET
tout	tout	ADJ
ce	ce	PRON
que	que	ADV
lui	lui	PRON
raconta	raconter	VERB
le	le	DET
major	major	NOUN
de	de	DET
Riescach	Riescach	PROPN
,	,	PUNCTclause
sinon	sinon	CCONJ
que	que	SCONJ
les	le	DET
Français	français	NOUN
avaient	avoir	AUX
évacué	évacuer	VERB
Rome	Rome	PROPN
;	;	PUNCTclause
il	il	PRON
courut	courir	VERB
chez	chez	ADP
le	le	DET
roi	roi	NOUN
et	et	CCONJ
lui	lui	PRON
annonça	annoncer	VERB
que	que	SCONJ
,	,	PUNCTclause
sur	sur	ADP
sa	son	DET
sommation	sommation	NOUN
,	,	PUNCTclause
les	le	DET
Français	français	NOUN
se	se	PRON
étaient	être	AUX
mis	mettre	VERB
immédiatement	immédiatement	ADV
en	en	ADP
retraite	retrait	NOUN
;	;	PUNCTclause
que	que	SCONJ
,	,	PUNCTclause
par conséquent	par conséquent	CCONJ
,	,	PUNCTclause
le	le	DET
lendemain	lendemain	NOUN
,	,	PUNCTclause
il	il	PRON
entrerait	entrer	VERB
à	à	ADP
Rome	Rome	PROPN
et	et	CCONJ
,	,	PUNCTclause
dans	dans	ADP
huit	huit	NUM
jours	jour	NOUN
serait	être	AUX
en plein	en plein	ADV
possession	possession	NOUN
des	un	ADP_DET
États	état	NOUN
romains	romain	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
ordonna	ordonner	VERB
de	de	DET
doubler	doubler	NOUN
l'	le	DET
étape	étape	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
le	le	DET
