# columns = TERM LEMMA POS PROB
# identifier = dumas1865-064
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = LXIV. Un disciple de Machiavel

↵↵↵	↵↵↵	PUNCTstruct
Lxiv	Lxiv	PROPN
.	.	PUNCTsent
Un	un	DET
disciple	disciple	NOUN
de	de	ADP
Machiavel	Machiavel	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Pronio	Pronio	PROPN
ne	ne	ADV
se	se	PRON
fit	faire	AUX
point	point	ADV
attendre	attendre	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
et	et	CCONJ
le	le	DET
cardinal	cardinal	NOUN
remarquèrent	remarquer	VERB
que	que	SCONJ
la	le	DET
lecture	lecture	NOUN
du	du	ADP_DET
livre	livre	NOUN
saint	saint	ADJ
ne	ne	ADV
lui	lui	PRON
avait	avoir	AUX
rien	rien	PRON
ôté	ôter	VERB
des	un	ADP_DET
airs	air	NOUN
dégagés	dégager	VERB
que	que	SCONJ
ils	ils	PRON
avaient	avoir	AUX
remarqués	remarquer	VERB
en	en	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
entra	entrer	VERB
,	,	PUNCTclause
se	se	PRON
tint	tenir	VERB
sur	sur	ADP
le	le	DET
seuil	seuil	NOUN
de	de	ADP
la	le	DET
porte	porte	NOUN
,	,	PUNCTclause
salua	saluer	VERB
respectueusement	respectueusement	ADV
le	le	DET
roi	roi	NOUN
d'abord	d'abord	ADV
,	,	PUNCTclause
le	le	DET
cardinal	cardinal	NOUN
ensuite	ensuite	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
attends	attendre	VERB
les	le	DET
ordres	ordre	NOUN
de	de	ADP
Sa	son	DET
Majesté	majesté	NOUN
,	,	PUNCTclause
dit	dire	VERB
il	il	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Mes	mon	DET
ordres	ordre	NOUN
seront	être	AUX
