# columns = TERM LEMMA POS PROB
# identifier = dumas1865-104
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = La San Felice
# title = CIV. La royauté à Palerme.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
La	le	DET
royauté	royauté	NOUN
à	à	ADP
Palerme	Palerme	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
avons	avoir	AUX
vu	voir	AUX
,	,	PUNCTclause
dans	dans	ADP
un	un	DET
des	un	NOUN
chapitres	chapitrer	VERB
précédents	précédent	ADJ
,	,	PUNCTclause
que	que	SCONJ
la	le	DET
première	premier	ADJ
chose	chose	NOUN
que	que	ADV
le	le	DET
roi	roi	NOUN
avait	avoir	AUX
réorganisée	réorganiser	VERB
avant	avant	ADP
son	son	DET
conseil	conseil	NOUN
des	un	ADP_DET
ministres	ministre	NOUN
,	,	PUNCTclause
et	et	CCONJ
aussitôt	aussitôt	ADV
son	son	DET
arrivée	arrivée	NOUN
à	à	ADP
Palerme	Palerme	PROPN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
sa	son	DET
partie	partie	NOUN
de	de	DET
reversi	reversi	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Par	par	ADP
bonheur	bonheur	NOUN
,	,	PUNCTclause
comme	comme	ADP
l'	le	DET
avait	avoir	AUX
pensé	penser	VERB
Ferdinand	Ferdinand	PROPN
,	,	PUNCTclause
le	le	DET
duc	duc	NOUN
de	de	DET
Ascoli	Ascoli	PROPN
,	,	PUNCTclause
dont	dont	PRON
il	il	PRON
ne	ne	ADV
se	se	PRON
était	être	AUX
pas	pas	ADV
occupé	occuper	VERB
,	,	PUNCTclause
avait	avoir	AUX
trouvé	trouver	VERB
moyen	moyen	ADJ
de	de	DET
passer	passer	NOUN
en	en	ADP
Sicile	Sicile	PROPN
,	,	PUNCTclause
poussé	pousser	VERB
par	par	ADP
ce	ce	DET
dévouement	dévouement	NOUN
naïf	naïf	ADJ
et	et	CCONJ
persévérant	persévérant	ADJ
qui	qui	PRON
était	être	AUX
sa	son	DET
principale	principal	ADJ
vertu	vertu	NOUN
,	,	PUNCTclause
vertu	vertu	NOUN
dont	dont	PRON
le	le	DET
roi	roi	NOUN
ne	ne	ADV
lui	lui	PRON
savait	savoir	VERB
pas	pas	ADV
plus	plus	ADV
gré	gré	VERB
que	que	SCONJ
à	à	ADP
Jupiter	Jupiter	PROPN
de	de	DET
sa	son	AUX
fidélité	fidélité	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
duc	duc	NOUN
de	de	DET
Ascoli	Ascoli	PROPN
était	être	AUX
allé	aller	VERB
trouver	trouver	VERB
Caracciolo	Caracciolo	PROPN
pour	pour	ADP
lui	lui	PRON
demander	demander	VERB
passage	passage	NOUN
à	à	ADP
son	son	DET
bord	bord	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
comme	comme	ADP
Caracciolo	Caracciolo	PROPN
savait	savoir	VERB
que	que	SCONJ
le	le	DET
duc	duc	NOUN
de	de	DET
Ascoli	Ascoli	PROPN
était	être	AUX
le	le	DET
meilleur	meilleur	ADJ
et	et	CCONJ
le	le	DET
plus	plus	ADV
désintéressé	désintéresser	VERB
des	un	DET
amis	ami	NOUN
du	du	ADP_DET
roi	roi	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
à l'instant même	à l'instant même	ADV
accordé	accorder	VERB
au	au	ADP_DET
duc	duc	NOUN
ce	ce	PRON
que	que	SCONJ
il	il	PRON
lui	lui	PRON
demandait	demander	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
trouva	trouver	VERB
donc	donc	ADV
,	,	PUNCTclause
au	au	ADP_DET
nombre	nombre	NOUN
des	un	ADP_DET
personnes	personne	NOUN
qui	qui	PRON
,	,	PUNCTclause
dès	dès	ADP
le	le	DET
soir	soir	NOUN
de	de	DET
son	son	NOUN
arrivée	arrivée	NOUN
,	,	PUNCTclause
vinrent	venir	VERB
lui	lui	PRON
faire	faire	AUX
leur	leur	DET
cour	cour	NOUN
,	,	PUNCTclause
son	son	DET
compagnon	compagnon	NOUN
de	de	DET
fuite	fuite	NOUN
de	de	DET
Albano	Albano	PROPN
,	,	PUNCTclause
le	le	DET
duc	duc	NOUN
de	de	DET
Ascoli	Ascoli	PROPN
.	.	PUNCTsent
Mais	mais	CCONJ
sa	son	DET
présence	présence	NOUN
ne	ne	ADV
étonna	étonner	VERB
point	point	ADV
le	le	DET
roi	roi	NOUN
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
pour tout	pour tout	ADP
compliment	compliment	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
savais	savoir	VERB
bien	bien	ADV
,	,	PUNCTclause
lui	lui	PRON
dit	dire	VERB
il	il	PRON
,	,	PUNCTclause
que	que	SCONJ
tu	tu	ADJ
trouverais	trouver	VERB
moyen	moyen	ADJ
de	de	DET
venir	venir	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
On	on	PRON
se	se	PRON
rappelle	rappeler	VERB
,	,	PUNCTclause
en outre	en outre	ADV
,	,	PUNCTclause
que	que	SCONJ
au	au	ADP_DET
nombre	nombre	NOUN
des	un	ADP_DET
magistrats	magistrat	NOUN
qui	qui	PRON
étaient	être	AUX
venus	venir	VERB
faire	faire	AUX
leur	leur	DET
cour	cour	NOUN
au	au	ADP_DET
roi	roi	NOUN
était	être	AUX
une	un	DET
vieille	vieux	ADJ
connaissance	connaissance	NOUN
à	à	ADP
lui	lui	PRON
,	,	PUNCTclause
le	le	DET
président	président	NOUN
Cardillo	Cardillo	PROPN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
venait	venir	VERB
jamais	jamais	ADV
à	à	ADP
Naples	Naples	PROPN
sans	sans	ADP
avoir	avoir	AUX
l'	le	DET
honneur	honneur	NOUN
de	de	DET
dîner	dîner	PROPN
une	un	DET
fois	fois	NOUN
à	à	ADP
la	le	DET
table	table	NOUN
du	du	ADP_DET
roi	roi	NOUN
;	;	PUNCTclause
en	en	ADP
échange	échange	NOUN
de	de	DET
quoi	quoi	PRON
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
lui	lui	PRON
faisait	faire	AUX
l'	le	DET
honneur	honneur	NOUN
,	,	PUNCTclause
chaque fois que	chaque fois que	SCONJ
il	il	PRON
venait	venir	VERB
à	à	ADP
Palerme	Palerme	PROPN
,	,	PUNCTclause
de	de	DET
aller	aller	NOUN
chasser	chasser	VERB
une	un	DET
fois	fois	NOUN
au moins	au moins	ADV
dans	dans	ADP
son	son	DET
magnifique	magnifique	ADJ
fief	fief	NOUN
de	de	DET
Illice	Illice	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
roi	roi	NOUN
faisait	faire	AUX
,	,	PUNCTclause
en	en	ADP
faveur	faveur	NOUN
du	du	ADP_DET
président	président	NOUN
Cardillo	Cardillo	PROPN
,	,	PUNCTclause
une	un	DET
exception	exception	NOUN
à	à	ADP
ses	son	DET
sympathies	sympathie	NOUN
et	et	CCONJ
à	à	ADP
ses	son	DET
antipathies	antipathie	NOUN
.	.	PUNCTsent
de	de	DET
habitude	habitude	NOUN
,	,	PUNCTclause
Ferdinand	Ferdinand	PROPN
,	,	PUNCTclause
très-aristocrate	très-aristocrate	NOUN
,	,	PUNCTclause
quoique	quoique	PRON
très-populaire	très-populaire	PUNCT
,	,	PUNCTclause
et	et	CCONJ
même	même	ADV
très-populacier	très-populacier	PUNCT
,	,	PUNCTclause
exécrait	exécrer	VERB
la	le	DET
noblesse	noblesse	NOUN
de	de	DET
robe	robe	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
le	le	DET
président	président	NOUN
Cardillo	Cardillo	PROPN
l'	le	DET
avait	avoir	AUX
séduit	séduire	VERB
par	par	ADP
deux	deux	NUM
puissants	puissant	NOUN
attraits	attrait	ADJ
.	.	PUNCTsent
Le	le	DET
roi	roi	NOUN
aimait	aimer	VERB
la	le	DET
chasse	chasse	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
président	président	NOUN
Cardillo	Cardillo	PROPN
était	être	AUX
,	,	PUNCTclause
depuis	depuis	ADP
Nemrod	Nemrod	PROPN
et	et	CCONJ
après	après	ADP
le	le	DET
roi	roi	NOUN
Ferdinand	Ferdinand	PROPN
,	,	PUNCTclause
un	un	DET
des	un	NOUN
plus	plus	ADV
puissants	puissant	ADJ
chasseurs	chasseur	NOUN
devant	devant	ADP
Dieu	Dieu	PROPN
qui	qui	PRON
eussent	avoir	VERB
jamais	jamais	ADV
existé	exister	VERB
.	.	PUNCTsent
Le	le	DET
roi	roi	NOUN
détestait	détester	VERB
les	le	DET
cheveux	cheveu	NOUN
à	à	ADP
la	le	DET
Titus	Titus	PROPN
,	,	PUNCTclause
les	le	DET
moustaches	moustache	NOUN
et	et	CCONJ
les	le	DET
favoris	favori	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
président	président	NOUN
Cardillo	Cardillo	PROPN
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
un	un	DET
cheveu	cheveu	NOUN
sur	sur	ADP
la	le	DET
tête	tête	NOUN
et	et	CCONJ
pas	pas	ADV
un	un	DET
poil	poil	NOUN
sur	sur	ADP
les	le	DET
joues	joue	NOUN
ni	ni	CCONJ
au	au	ADP_DET
menton	menton	NOUN
;	;	PUNCTclause
la	le	DET
majestueuse	majestueux	ADJ
perruque	perruque	NOUN
sous	sous	ADP
laquelle	laquelle	PRON
le	le	DET
digne	digne	NOUN
magistrat	magistrat	ADJ
dissimulait	dissimuler	VERB
sa	son	DET
calvitie	calvitie	NOUN
avait	avoir	AUX
donc	donc	ADV
le	le	DET
rare	rare	ADJ
privilège	privilège	NOUN
de	de	DET
être	être	AUX
bien	bien	ADV
reçue	recevoir	VERB
par	par	ADP
le	le	DET
roi	roi	NOUN
.	.	PUNCTsent
Aussi	aussi	ADV
jeta	jeter	VERB
il	il	PRON
immédiatement	immédiatement	ADV
les	le	DET
yeux	œil	NOUN
sur	sur	ADP
lui	lui	PRON
pour	pour	ADP
