# columns = TERM LEMMA POS PROB
# identifier = dumas1866-36
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = Le Comte de Moret
# title = VIII. Le moyen de Vauthier.

↵↵↵	↵↵↵	PUNCTstruct
VIII	VIII	NOUN
.	.	PUNCTsent
Le	le	DET
moyen	moyen	NOUN
de	de	DET
Vauthier	Vauthier	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
quoique	quoique	PRON
il	il	PRON
eût	avoir	VERB
son	son	DET
appartement	appartement	NOUN
chez	chez	ADP
la	le	DET
reine-mère	reine-mère	NOUN
,	,	PUNCTclause
c'est-à-dire	c'est-à-dire	CCONJ
au	au	ADP_DET
palais	palais	NOUN
du	du	ADP_DET
Luxembourg	Luxembourg	PROPN
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
était	être	AUX
rentré	rentrer	VERB
au	au	ADP_DET
Louvre	Louvre	PROPN
pour	pour	ADP
échapper	échapper	VERB
aux	au	ADP_DET
obsessions	obsession	NOUN
dont	dont	PRON
il	il	PRON
sentait	sentir	VERB
bien	bien	ADV
que	que	SCONJ
il	il	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
manque de	manque de	ADP
être	être	AUX
l'	le	DET
objet	objet	NOUN
,	,	PUNCTclause
de	de	DET
la	le	AUX
part	part	NOUN
des	un	ADP_DET
deux	deux	NUM
reines	reine	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
,	,	PUNCTclause
en effet	en effet	ADV
,	,	PUNCTclause
quoique	quoique	PRON
rentré	rentrer	VERB
chez	chez	ADP
elle	elle	PRON
,	,	PUNCTclause
Marie	Marie	PROPN
de	de	DET
Médicis	Médicis	PROPN
eût	avoir	CCONJ
écouté	écouter	VERB
avec	avec	ADP
la	le	DET
plus	plus	ADV
grande	grand	ADJ
attention	attention	NOUN
et	et	CCONJ
approuve	approuver	VERB
le	le	DET
projet	projet	NOUN
que	que	SCONJ
lui	lui	PRON
avait	avoir	AUX
exposé	exposer	VERB
Vauthier	Vauthier	PROPN
,	,	PUNCTclause
avant de	avant de	ADP
recourir	recourir	VERB
à	à	ADP
ce	ce	DET
projet	projet	NOUN
elle	elle	PRON
résolut	résoudre	VERB
de	de	DET
faire	faire	AUX
une	un	DET
seconde	second	ADJ
tentative	tentative	NOUN
sur	sur	ADP
son	son	DET
fils	fils	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
quant à	quant à	ADP
Louis	Louis	PROPN
XIII	XIII	NUM
,	,	PUNCTclause
comme	comme	ADP
nous	nous	PRON
l'	le:PRON	PRON
avons	avoir	AUX
dit	dire	VERB
,	,	PUNCTclause
il	il	PRON
était	être	AUX
resté	rester	VERB
chez	chez	ADP
lui	lui	PRON
,	,	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
à peine	à peine	ADV
rentré	rentrer	VERB
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
fait	faire	AUX
appeler	appeler	VERB
de	de	DET
Angély	Angély	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
il	il	PRON
avait	avoir	AUX
d'abord	d'abord	ADV
demandé	demander	VERB
si	si	ADV
M.	M.	PROPN
de	de	DET
Baradas	Baradas	PROPN
ne	ne	ADV
avait	avoir	AUX
rien	rien	PRON
dit	dire	VERB
ou	ou	CCONJ
fait	faire	AUX
dire	dire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Baradas	Baradas	PROPN
avait	avoir	AUX
gardé	garder	VERB
le	le	DET
silence	silence	NOUN
le	le	DET
plus	plus	ADV
complet	complet	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
ce	ce	PRON
était	être	AUX
ce	ce	DET
silence	silence	NOUN
dans	dans	ADP
lequel	lequel	PRON
se	se	PRON
obstinait	obstiner	VERB
à	à	ADP
demeurer	demeurer	VERB
le	le	DET
page	page	NOUN
boudeur	boudeur	ADJ
,	,	PUNCTclause
qui	qui	PRON
avait	avoir	AUX
causé	causer	VERB
la	le	DET
mauvaise humeur	mauvaise humeur	NOUN
du	du	ADP_DET
roi	roi	NOUN
au	au	ADP_DET
conseil	conseil	NOUN
,	,	PUNCTclause
mauvaise humeur	mauvaise humeur	NOUN
qui	qui	PRON
ne	ne	ADV
avait	avoir	AUX
point	point	ADV
échappé	échapper	VERB
à	à	ADP
Vauthier	Vauthier	PROPN
,	,	PUNCTclause
mauvaise humeur	mauvaise humeur	NOUN
dont	dont	PRON
il	il	PRON
connaissait	connaître	VERB
la	le	DET
cause	cause	NOUN
,	,	PUNCTclause
cause	cause	NOUN
sur	sur	ADP
laquelle	laquelle	PRON
il	il	PRON
avait	avoir	AUX
basé	baser	VERB
tout	tout	ADJ
son	son	DET
plan	plan	NOUN
de	de	DET
campagne	campagne	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ainsi	ainsi	ADV
Louis	Louis	PROPN
XIII	XIII	NUM
qui	qui	PRON
se	se	PRON
était	être	AUX
assez	assez	ADV
peu	peu	ADV
avancé	avancer	VERB
avec	avec	ADP
mademoiselle	mademoiselle	NOUN
de	de	DET
Lautrec	Lautrec	PROPN
,	,	PUNCTclause
se	se	PRON
promettait	promettre	VERB
il	il	PRON
de	de	DET
suivre	suivre	NOUN
le	le	DET
conseil	conseil	NOUN
de	de	DET
l'	le	NOUN
Angély	Angély	PROPN
et	et	CCONJ
de	de	DET
aller	aller	NOUN
