# columns = TERM LEMMA POS PROB
# identifier = dumas1866-72
# creator = Dumas, Alexandre
# created = 1865
# isPartOf = Le Comte de Moret
# title = XXIII. L’aurore.

↵↵↵	↵↵↵	PUNCTstruct
XXIII	XXIII	X
.	.	PUNCTsent
l'	le	DET
aurore	aurore	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comme	comme	ADP
tiens	tien	NOUN
l'	le	DET
avons	avoir	AUX
dit	dire	VERB
dans	dans	ADP
un	un	DET
de	de	ADP
nos	nos	DET
précédents	précédent	NOUN
chapitres	chapitre	NOUN
,	,	PUNCTclause
tourmenté	tourmenter	VERB
des	un	DET
insistances	insistance	NOUN
de	de	ADP
sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
tremblant	trembler	VERB
de	de	ADP
avoir	avoir	AUX
fait	faire	VERB
son	son	DET
frère	frère	NOUN
trop	trop	ADV
puissant	puissant	ADJ
par	par	ADP
les	le	DET
dernières	dernier	ADJ
faveurs	faveur	NOUN
que	que	SCONJ
il	il	PRON
lui	lui	PRON
avait	avoir	AUX
accordées	accorder	VERB
,	,	PUNCTclause
cachant	cacher	VERB
que	que	SCONJ
la	le	DET
reine	reine	NOUN
Anne	Anne	PROPN
,	,	PUNCTclause
malgré	malgré	ADP
la	le	DET
défense	défense	NOUN
que	que	PRON
il	il	PRON
lui	lui	PRON
en	en	PRON
avait	avoir	AUX
faite	faire	VERB
,	,	PUNCTclause
continuait	continuer	VERB
à voir	à voir	ADP
l'	le	DET
ambassadeur	ambassadeur	NOUN
de	de	ADP
Espagne	Espagne	PROPN
et	et	CCONJ
à	à	ADP
conspirer	conspirer	VERB
avec	avec	ADP
lui	lui	PRON
,	,	PUNCTclause
le	le	DET
roi	roi	NOUN
Louis	Louis	PROPN
XIII	XIII	NUM
,	,	PUNCTclause
loin	loin	ADV
du	du	ADP_DET
cardinal	cardinal	NOUN
c'est-à-dire	c'est-à-dire	CCONJ
loin de	loin de	ADP
l'	le	DET
âme	âme	NOUN
politique	politique	ADJ
,	,	PUNCTclause
était	être	AUX
tombé	tomber	VERB
dans	dans	ADP
une	un	DET
mélancolie	mélancolie	NOUN
que	que	SCONJ
rien	rien	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
chasser	chasser	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
ce	ce	PRON
qui	qui	PRON
l'	le:PRON	PRON
énervait	énerver	VERB
surtout	surtout	ADV
dans	dans	ADP
cette	ce	DET
lutte	lutte	NOUN
incessante	incessant	ADJ
,	,	PUNCTclause
ce	ce	DET
était	être	AUX
de	de	ADP
comprendre	comprendre	VERB
instinctivement	instinctivement	ADV
,	,	PUNCTclause
grâce à	grâce à	ADP
ce	ce	PRON
rayon	rayon	NOUN
à	à	ADP
l'	le	DET
intelligence	intelligence	NOUN
morale	moral	ADJ
que	que	SCONJ
Dieu	Dieu	PROPN
avait	avoir	AUX
mise	mettre	VERB
en	en	ADP
lui	lui	PRON
,	,	PUNCTclause
que	que	SCONJ
Richelieu	Richelieu	PROPN
était	être	AUX
plus	plus	ADV
nécessaire	nécessaire	ADJ
au	au	ADP_DET
salut	salut	NOUN
de	de	ADP
l'	le	DET
État	état	NOUN
que	que	PRON
lui	lui	PRON
même	même	ADV
;	;	PUNCTclause
et	et	CCONJ
cependant	cependant	ADV
tout	tout	ADJ
ce	ce	DET
monde	monde	NOUN
qui	qui	PRON
l'	le:PRON	PRON
entourait	entourer	VERB
,	,	PUNCTclause
à part	à part	ADP
l'	le	DET
Angély	Angély	PROPN
,	,	PUNCTclause
son	son	DET
fou	fou	NOUN
,	,	PUNCTclause
et	et	CCONJ
Saint	Saint	PROPN
Simon	Simon	PROPN
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
avait	avoir	AUX
fait	faire	VERB
son	son	DET
grand	grand	ADJ
écuyer	écuyer	NOUN
,	,	PUNCTclause
on	on	PRON
se	se	PRON
était	être	AUX
déclaré	déclarer	VERB
contre	contre	ADP
l'	le	DET
homme	homme	NOUN
que	que	SCONJ
il	il	PRON
tenait	tenir	VERB
pour	pour	ADP
indispensable	indispensable	ADJ
,	,	PUNCTclause
on	on	PRON
conspirait	conspirer	VERB
sourdement	sourdement	ADV
contre	contre	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
il y a	il y a	VERB
toujours	toujours	ADV
,	,	PUNCTclause
et	et	CCONJ
dans	dans	ADP
tous	tout	ADJ
les	le	DET
temps	temps	NOUN
,	,	PUNCTclause
un	un	DET
monde	monde	NOUN
qui	qui	PRON
se	se	PRON
intitule	intituler	VERB
le	le	DET
