# columns = TERM LEMMA POS PROB
# identifier = sand1834a-96
# creator = Sand, George
# created = 1834
# isPartOf = Jacques
# title = XCV. De Sylvia à Jacques.

↵↵↵	↵↵↵	PUNCTstruct
		TOKEN
.	.	PUNCTsent
De	de	ADP
Sylvia	Sylvia	PROPN
à	à	ADP
Jacques	Jacques	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
à présent	à présent	ADV
je	je	PRON
ne	ne	ADV
me	me	PRON
flatte	flatter	VERB
plus	plus	ADV
,	,	PUNCTclause
et	et	CCONJ
ton	ton	DET
désespoir	désespoir	NOUN
est	être	AUX
passé	passer	VERB
dans	dans	ADP
mon	mon	DET
âme	âme	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
les tiennes	les tiennes	PRON
est	être	AUX
auguste	auguste	ADJ
et	et	CCONJ
résigné	résigner	VERB
,	,	PUNCTclause
et	et	CCONJ
les miens	les miens	PRON
est	être	AUX
sombre	sombre	ADJ
et	et	CCONJ
amer	amer	ADJ
.	.	PUNCTsent
ce	ce	DET
en	en	PRON
est	être	AUX
donc	donc	ADV
fait	faire	VERB
,	,	PUNCTclause
ton	ton	DET
parti	parti	NOUN
est	être	AUX
pris	prendre	VERB
!	!	PUNCTsent
Ô	ô	INTJ
Dieu	Dieu	PROPN
!	!	PUNCTsent
ô	ô	INTJ
Dieu	Dieu	PROPN
!	!	PUNCTsent
un	un	DET
homme	homme	NOUN
comme	comme	ADP
Jacques	Jacques	PROPN
va	aller	VERB
se	se	PRON
tuer	tuer	VERB
,	,	PUNCTclause
et	et	CCONJ
vous	vous	PRON
ne	ne	ADV
ferez	faire	VERB
pas	pas	ADV
un	un	DET
miracle	miracle	NOUN
pour	pour	ADP
l'	le:PRON	PRON
en	en	PRON
empêcher	empêcher	VERB
!	!	PUNCTsent
Vous	vous	PRON
allez	aller	VERB
laisser tomber	laisser tomber	VERB
cette	ce	DET
vie	vie	NOUN
sainte	saint	ADJ
et	et	CCONJ
sublime	sublime	ADJ
dans	dans	ADP
le	le	DET
gouffre	gouffre	NOUN
de	de	ADP
l'	le	DET
éternité	éternité	NOUN
,	,	PUNCTclause
comme	comme	ADP
un	un	DET
grain	grain	NOUN
de	de	ADP
sable	sable	NOUN
dans	dans	ADP
l'	le	DET
Océan	Océan	PROPN
;	;	PUNCTclause
elle	elle	PRON
se	se	PRON
en	en	ADP
ira	aller	VERB
pêle-mêle	pêle-mêle	ADV
avec	avec	ADP
celles	celle	PRON
des	un	ADP_DET
méchants	méchant	NOUN
et	et	CCONJ
des	un	DET
lâches	lâche	NOUN
,	,	PUNCTclause
et	et	CCONJ
la	le	DET
création	création	NOUN
tout	tout	ADV
entière	entier	ADJ
ne	ne	ADV
se	se	PRON
révoltera	révolter	VERB
pas	pas	ADV
contre	contre	ADP
vous	vous	PRON
pour	pour	ADP
refuser	refuser	VERB
son	son	DET
sacrifice	sacrifice	NOUN
!	!	PUNCTsent
Ton	ton	DET
malheur	malheur	NOUN
fera	faire	VERB
de	de	ADP
moi	moi	PRON
un	un	DET
athée	athée	NOUN
à	à	ADP
mon	mon	DET
dernier soupir	dernier soupir	NOUN
,	,	PUNCTclause
ô	ô	INTJ
Jacques	Jacques	PROPN
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Tu	tu	PRON
me	me	PRON
parles	parler	VERB
de	de	ADP
avenir	avenir	NOUN
,	,	PUNCTclause
de	de	ADP
bonheur	bonheur	NOUN
,	,	PUNCTclause
de	de	ADP
mariage	mariage	NOUN
,	,	PUNCTclause
de	de	ADP
maternité	maternité	NOUN
!	!	PUNCTsent
Mais	mais	CCONJ
tu	tu	PRON
ne	ne	ADV
sais	savoir	VERB
donc	donc	ADV
pas	pas	ADV
…	…	PUNCTsent
non	non	ADV
,	,	PUNCTclause
tu	tu	PRON
ne	ne	ADV
connais	connaître	VERB
pas	pas	ADV
mon	mon	DET
amitié	amitié	NOUN
,	,	PUNCTclause
si	si	SCONJ
tu	tu	PRON
te	te	PRON
imagines	imaginer	VERB
que	que	SCONJ
je	je	PRON
puisse	pouvoir	VERB
te	te	PRON
survivre	survivre	VERB
.	.	PUNCTsent
Quand	quand	SCONJ
ce	ce	PRON
ne	ne	ADV
serait	être	AUX
que	que	ADV
par	par	ADP
indignation	indignation	NOUN
,	,	PUNCTclause
je	je	PRON
hais	haïr	VERB
la	le	DET
vie	vie	NOUN
désormais	désormais	ADV
,	,	PUNCTclause
je	je	PRON
la	le:PRON	PRON
hais	haïr	VERB
encore	encore	ADV
plus	plus	ADV
que	que	SCONJ
tu	tu	PRON
ne	ne	ADV
fais	faire	AUX
;	;	PUNCTclause
car	car	CCONJ
tu	tu	PRON
acceptes	accepter	VERB
ton	ton	DET
sort	sort	NOUN
,	,	PUNCTclause
et	et	CCONJ
moi	moi	PRON
je	je	PRON
me	me	PRON
révolte	révolter	VERB
contre	contre	ADP
le	le	DET
ciel	ciel	NOUN
et	et	CCONJ
contre	contre	ADP
les	le	DET
hommes	homme	NOUN
qui	qui	PRON
l'	le:PRON	PRON
ont	avoir	AUX
fait	faire	VERB
ce	ce	DET
que	que	SCONJ
il	il	PRON
est	être	AUX
.	.	PUNCTsent
Je	je	PRON
hais	haïr	VERB
Octave	Octave	PROPN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ne	ne	ADV
puis	puis	CCONJ
regarder	regarder	VERB
ma	mon	DET
sœur	sœur	NOUN
en face	en face	ADV
;	;	PUNCTclause
je	je	PRON
la	le	DET
fuis	fui	ADJ
,	,	PUNCTclause
tant	tant	ADV
je	je	PRON
ai	avoir	VERB
peur	peur	NOUN
de	de	ADP
la	le	DET
haïr	haïr	VERB
aussi	aussi	ADV
.	.	PUNCTsent
Voilà	voilà	ADP
comme	comme	SCONJ
elle	elle	PRON
te	te	PRON
a	avoir	AUX
compris	comprendre	VERB
,	,	PUNCTclause
la	le	DET
femme	femme	NOUN
que	que	PRON
tu	tu	PRON
aimais	aimer	VERB
!	!	PUNCTsent
et	et	CCONJ
voilà	voilà	ADP
l'	le	DET
homme	homme	NOUN
que	que	PRON
elle	elle	PRON
te	te	PRON
a	avoir	AUX
préféré	préférer	VERB
!	!	PUNCTsent
Oui	oui	INTJ
,	,	PUNCTclause
ils	ils	PRON
sont	être	AUX
faits	faire	VERB
l'un	l'un	PRON
pour	pour	ADP
l'autre	l'autre	PRON
,	,	PUNCTclause
ils	ils	PRON
ont	avoir	VERB
raison	raison	NOUN
;	;	PUNCTclause
que	que	SCONJ
ils	ils	PRON
se	se	PRON
aiment	aimer	VERB
et	et	CCONJ
que	que	SCONJ
ils	ils	PRON
dorment	dormir	VERB
sur	sur	ADP
ton	ton	DET
cercueil	cercueil	NOUN
:	:	PUNCTclause
ce	ce	PRON
sera	être	AUX
leur	leur	DET
couche	couche	NOUN
nuptiale	nuptial	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Mais	mais	CCONJ
pourquoi	pourquoi	ADV
faut	falloir	VERB
il	il	PRON
que	que	SCONJ
tu	tu	PRON
meures	mourir	VERB
!	!	PUNCTsent
Du	du	ADP_DET
moment	moment	NOUN
que	que	SCONJ
ils	ils	PRON
le	le	DET
désirent	désirer	VERB
,	,	PUNCTclause
ne	ne	ADV
es	être	AUX
tu	taire	VERB
pas	pas	ADV
affranchi	affranchir	VERB
de	de	ADP
tout	tout	DET
devoir	devoir	NOUN
envers	envers	ADP
eux	eux	PRON
?	?	PUNCTsent
parce que	parce que	SCONJ
ils	ils	PRON
ont	avoir	AUX
une	un	DET
pensée	pensée	NOUN
criminelle	criminel	ADJ
,	,	PUNCTclause
tu	tu	PRON
te	te	PRON
offres	offrir	VERB
à	à	ADP
Dieu	Dieu	PROPN
comme	comme	ADP
une	un	DET
victime	victime	NOUN
de	de	ADP
expiation	expiation	NOUN
pour	pour	ADP
leur	leur	DET
forfait	forfait	NOUN
!	!	PUNCTsent
Que	que	SCONJ
deviendra	devenir	VERB
donc	donc	ADV
dans	dans	ADP
le	le	DET
cœur	cœur	NOUN
des	un	ADP_DET
hommes	homme	NOUN
l'	le	DET
amour	amour	NOUN
de	de	ADP
la	le	DET
justice	justice	NOUN
et	et	CCONJ
la	le	DET
foi	foi	NOUN
à	à	ADP
la	le	DET
Providence	providence	NOUN
,	,	PUNCTclause
si	si	SCONJ
les	le	DET
premiers	premier	ADJ
d'entre	d'entre	ADP
eux	eux	PRON
se	se	PRON
condamnent	condamner	VERB
et	et	CCONJ
se	se	PRON
immolent	immoler	VERB
ainsi	ainsi	ADV
pour	pour	ADP
laver	laver	VERB
les	le	DET
fautes	faute	NOUN
des	un	ADP_DET
derniers	dernier	ADJ
?	?	PUNCTsent
Ne	ne	ADV
peux	pouvoir	VERB
tu	tu	PRON
abandonner	abandonner	VERB
pour	pour	ADP
jamais	jamais	ADV
cette	ce	DET
maudite	maudit	ADJ
Europe	Europe	PROPN
où	où	PRON
tous	tous	PRON
tes	ton	DET
maux	mal	NOUN
ont	avoir	AUX
pris	prendre	VERB
racine	racine	NOUN
,	,	PUNCTclause
et	et	CCONJ
chercher	chercher	VERB
quelque	quelque	DET
terre	terre	NOUN
vierge	vierge	ADJ
de	de	ADP
tes	ton	DET
larmes	larme	NOUN
,	,	PUNCTclause
où	où	PRON
tu	tu	PRON
pourras	pouvoir	VERB
recommencer	recommencer	VERB
une	un	DET
vie	vie	NOUN
nouvelle	nouveau	ADJ
?	?	PUNCTsent
Est	être	AUX
il	il	PRON
bien	bien	ADV
vrai	vrai	ADJ
que	que	SCONJ
tu	tu	PRON
ne	ne	ADV
as	avoir	AUX
plus	plus	ADV
rien	rien	PRON
dans	dans	ADP
le	le	DET
cœur	cœur	NOUN
,	,	PUNCTclause
pas	pas	ADV
même	même	ADV
de	de	ADP
l'	le	DET
amitié	amitié	NOUN
pour	pour	ADP
moi	moi	PRON
,	,	PUNCTclause
qui	qui	PRON
te	te	PRON
suivrais	suivre	VERB
au	au	ADP_DET
bout	bout	NOUN
du	du	ADP_DET
monde	monde	NOUN
?	?	PUNCTsent
ha	ha	INTJ
!	!	PUNCTsent
cette	ce	DET
amitié	amitié	NOUN
qui	qui	PRON
remplissait	remplir	VERB
toute	toute	DET
mon	mon	DET
âme	âme	NOUN
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
