# columns = TERM LEMMA POS PROB
# identifier = sand1837-07
# creator = Sand, George
# created = 1837
# isPartOf = Mauprat
# title = VI

↵↵↵	↵↵↵	PUNCTstruct
VI	VI	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
je	je	PRON
avais	avoir	VERB
quinze	quinze	NUM
ans	an	NOUN
quand	quand	SCONJ
mon	mon	DET
grand-père	grand-père	NOUN
mourut	mourir	VERB
;	;	PUNCTclause
sa	son	DET
mort	mort	NOUN
ne	ne	ADV
causa	causer	VERB
point	point	ADV
de	de	DET
douleur	douleur	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
une	un	DET
véritable	véritable	ADJ
consternation	consternation	NOUN
à	à	ADP
la	le	DET
Roche-Mauprat	Roche-Mauprat	PROPN
.	.	PUNCTsent
Il	il	PRON
était	être	AUX
l'	le	DET
âme	âme	NOUN
de	de	DET
tous	tout	ADJ
les	le	DET
vices	vice	NOUN
qui	qui	PRON
y	y	PRON
régnaient	régner	VERB
,	,	PUNCTclause
et	et	CCONJ
il	il	PRON
est	être	AUX
certain	certain	ADJ
que	que	SCONJ
il y a	il y a	VERB
en	en	ADP
lui	lui	PRON
quelque chose	quelque chose	PRON
de plus	de plus	ADV
cruel	cruel	ADJ
et	et	CCONJ
de	de	DET
moins	moins	ADV
vil	vil	ADJ
que	que	SCONJ
dans	dans	ADP
ses	son	DET
fils	fils	NOUN
.	.	PUNCTsent
Après	après	ADP
lui	lui	PRON
,	,	PUNCTclause
l'	le	DET
espèce	espèce	NOUN
de	de	DET
gloire	gloire	NOUN
que	que	SCONJ
son	son	DET
audace	audace	NOUN
nous	nous	PRON
avait	avoir	AUX
acquise	acquérir	VERB
se	se	PRON
éclipsa	éclipser	VERB
.	.	PUNCTsent
Ses	son	DET
enfants	enfant	NOUN
,	,	PUNCTclause
jusque	jusque	ADP
bien	bien	ADV
disciplinés	discipliner	VERB
,	,	PUNCTclause
devinrent	devenir	VERB
de plus en plus	de plus en plus	ADV
ivrognes	ivrogne	NOUN
et	et	CCONJ
débauchés	débaucher	VERB
.	.	PUNCTsent
D'ailleurs	d'ailleurs	ADV
,	,	PUNCTclause
les	le	DET
expéditions	expédition	NOUN
furent	être	AUX
chaque	chaque	DET
jour	jour	NOUN
plus	plus	ADV
périlleuses	périlleux	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Excepté	excepté	ADP
le	le	DET
petit	petit	ADJ
nombre	nombre	NOUN
de	de	DET
féaux	féal	NOUN
que	que	SCONJ
nous	nous	PRON
traitions	traiter	VERB
bien	bien	ADV
et	et	CCONJ
qui	qui	PRON
nous	nous	PRON
étaient	être	AUX
tous	tout	ADJ
dévoués	dévouer	VERB
,	,	PUNCTclause
nous	nous	PRON
étions	être	AUX
de plus en plus	de plus en plus	ADV
isolés	isoler	VERB
et	et	CCONJ
sans	sans	ADP
ressources	ressource	NOUN
.	.	PUNCTsent
Le	le	DET
pays	pays	NOUN
de	de	DET
alentour	alentour	NOUN
avait	avoir	AUX
été	être	AUX
abandonné	abandonner	VERB
à la suite de	à la suite de	ADP
nos	nos	DET
violences	violence	NOUN
.	.	PUNCTsent
La	le	DET
frayeur	frayeur	NOUN
que	que	SCONJ
nous	nous	PRON
inspirions	inspirer	VERB
agrandissait	agrandir	VERB
chaque	chaque	DET
jour	jour	NOUN
le	le	DET
désert	désert	NOUN
autour de	autour de	ADP
nous	nous	PRON
.	.	PUNCTsent
Il	il	PRON
fallait	falloir	VERB
aller	aller	VERB
loin	loin	ADV
et	et	CCONJ
se	se	PRON
hasarder	hasarder	VERB
sur	sur	ADP
les	le	DET
confins	confins	NOUN
de	de	DET
la	le	AUX
plaine	plaine	NOUN
.	.	PUNCTsent
Là	là	ADV
,	,	PUNCTclause
nous	nous	PRON
ne	ne	ADV
avions	avoir	AUX
pas	pas	ADV
le	le	DET
dessus	dessus	NOUN
,	,	PUNCTclause
et	et	CCONJ
mon	mon	DET
oncle	oncle	NOUN
Laurent	Laurent	PROPN
,	,	PUNCTclause
le	le	DET
plus	plus	ADV
hardi	hardi	ADJ
de	de	DET
tous	tout	ADJ
,	,	PUNCTclause
fut	être	AUX
grièvement	grièvement	ADV
blessé	blesser	VERB
dans	dans	ADP
une	un	DET
escarmouche	escarmouche	NOUN
.	.	PUNCTsent
Il	il	PRON
fallut	falloir	VERB
chercher	chercher	VERB
d'autres	d'autre	PRON
ressources	ressourcer	VERB
.	.	PUNCTsent
Jean	Jean	PROPN
