# columns = TERM LEMMA POS PROB
# identifier = sand1842-02
# creator = Sand, George
# created = 1842
# isPartOf = Horace
# title = I

↵↵↵	↵↵↵	PUNCTstruct
I.	I.	PROPN
↵↵	↵↵	PUNCTstruct
Les	le	DET
êtres	être	NOUN
qui	qui	PRON
nous	nous	PRON
inspirent	inspirer	VERB
le	le	DET
plus	plus	ADV
de	de	DET
affection	affection	NOUN
ne	ne	ADV
sont	être	AUX
pas	pas	ADV
toujours	toujours	ADV
ceux	ceux	PRON
que	que	SCONJ
nous	nous	PRON
estimons	estimer	VERB
le	le	DET
plus	plus	ADV
.	.	PUNCTsent
La	le	DET
tendresse	tendresse	NOUN
du	du	ADP_DET
cœur	cœur	NOUN
ne	ne	ADV
a	avoir	VERB
pas	pas	ADV
besoin	besoin	NOUN
de	de	DET
admiration	admiration	NOUN
et	et	CCONJ
de	de	DET
enthousiasme	enthousiasme	NOUN
:	:	PUNCTclause
elle	elle	PRON
est	être	AUX
fondée	fonder	VERB
sur	sur	ADP
un	un	DET
sentiment	sentiment	NOUN
de	de	DET
égalité	égalité	NOUN
qui	qui	PRON
nous	nous	PRON
fait	faire	AUX
chercher	chercher	VERB
dans	dans	ADP
un	un	DET
ami	ami	NOUN
un	un	DET
semblable	semblable	ADJ
,	,	PUNCTclause
un	un	DET
homme	homme	NOUN
sujet	sujet	NOUN
aux	au	ADP_DET
mêmes	même	ADJ
passions	passion	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
mêmes	même	ADJ
faiblesses	faiblesse	NOUN
que	que	SCONJ
nous	nous	PRON
.	.	PUNCTsent
La	le	DET
vénération	vénération	NOUN
commande	commander	VERB
une	un	DET
autre	autre	ADJ
sorte	sorte	NOUN
de	de	DET
affection	affection	NOUN
que	que	SCONJ
cette	ce	DET
intimité	intimité	NOUN
expansive	expansif	ADJ
de	de	DET
tous	tout	ADJ
les	le	DET
instants	instant	NOUN
que	que	SCONJ
on	on	PRON
appelle	appeler	VERB
l'	le	DET
amitié	amitié	NOUN
.	.	PUNCTsent
je	je	PRON
aurais	avoir	AUX
bien	bien	ADV
mauvaise	mauvais	ADJ
opinion	opinion	NOUN
de	de	DET
un	un	NUM
homme	homme	NOUN
qui	qui	PRON
ne	ne	ADV
pourrait	pouvoir	VERB
aimer	aimer	VERB
ce	ce	PRON
que	que	SCONJ
il	il	PRON
admire	admirer	VERB
;	;	PUNCTclause
je	je	PRON
en	en	PRON
aurais	avoir	VERB
une	un	DET
plus	plus	ADV
mauvaise	mauvais	ADJ
encore	encore	ADV
de	de	DET
celui	celui	PRON
qui	qui	PRON
ne	ne	ADV
pourrait	pouvoir	VERB
aimer	aimer	VERB
que	que	SCONJ
ce	ce	PRON
que	que	SCONJ
il	il	PRON
admire	admirer	VERB
.	.	PUNCTsent
Ceci	ceci	PRON
soit	soit	CCONJ
dit	dire	VERB
en fait de	en fait de	ADP
amitié	amitié	NOUN
seulement	seulement	ADV
.	.	PUNCTsent
l'	le	DET
amour	amour	NOUN
est	être	AUX
tout	tout	ADJ
autre	autre	ADJ
:	:	PUNCTclause
il	il	PRON
ne	ne	ADV
vit	vivre	VERB
que	que	ADV
de	de	DET
enthousiasme	enthousiasme	NOUN
,	,	PUNCTclause
et	et	CCONJ
tout	tout	ADJ
ce	ce	PRON
qui	qui	PRON
porte	porter	VERB
atteinte	atteinte	NOUN
à	à	ADP
sa	son	DET
délicatesse	délicatesse	NOUN
exaltée	exalter	VERB
le	le	DET
flétrit	flétrir	NOUN
et	et	CCONJ
le	le	DET
dessèche	dessécher	NOUN
.	.	PUNCTsent
Mais	mais	CCONJ
le	le	DET
plus	plus	ADV
doux	doux	ADJ
de	de	DET
tous	tout	ADJ
les	le	DET
sentiments	sentiment	NOUN
humains	humain	ADJ
,	,	PUNCTclause
celui	celui	PRON
qui	qui	PRON
se	se	PRON
alimente	alimenter	VERB
des	un	ADP_DET
misères	misère	NOUN
et	et	CCONJ
des	un	DET
fautes	fauter	VERB
comme	comme	ADP
des	un	DET
grandeurs	grandeur	NOUN
et	et	CCONJ
des	un	DET
actes	acte	NOUN
héroïques	héroïque	ADJ
,	,	PUNCTclause
celui	celui	PRON
qui	qui	PRON
est	être	AUX
de	de	DET
tous	tout	ADJ
les	le	DET
âges	âge	NOUN
de	de	DET
notre	notre	ADV
vie	vie	NOUN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
développe	développer	VERB
en	en	ADP
nous	nous	PRON
avec	avec	ADP
le	le	DET
premier	premier	ADJ
sentiment	sentiment	NOUN
de	de	DET
l'	le:PRON	PRON
être	être	AUX
,	,	PUNCTclause
et	et	CCONJ
qui	qui	PRON
dure	durer	VERB
autant	autant	ADV
que	que	SCONJ
nous	nous	PRON
,	,	PUNCTclause
celui	celui	PRON
qui	qui	PRON
double	doubler	VERB
et	et	CCONJ
étend	étendre	VERB
réellement	réellement	ADV
notre	notre	DET
existence	existence	NOUN
,	,	PUNCTclause
celui	celui	PRON
qui	qui	PRON
renaît	renaître	VERB
de	de	DET
ses	son	NOUN
propres	propre	ADJ
cendres	cendre	ADJ
et	et	CCONJ
se	se	PRON
