# columns = TERM LEMMA POS PROB
# identifier = sand1843b-006
# creator = Sand, George
# created = 1843
# isPartOf = Consuelo
# title = V

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
↵↵	↵↵	PUNCTstruct
Cependant	cependant	ADV
un	un	DET
violent	violent	ADJ
combat	combat	NOUN
se	se	PRON
élevait	élever	VERB
dans	dans	ADP
l'	le	DET
âme	âme	NOUN
de	de	DET
cet	ce	AUX
heureux	heureux	ADJ
amant	amant	VERB
que	que	SCONJ
l'	le	DET
onde	onde	NOUN
et	et	CCONJ
la	le	DET
nuit	nuit	NOUN
emportaient	emporter	VERB
dans	dans	ADP
leurs	leur	DET
ombres	ombrer	VERB
tranquilles	tranquille	ADJ
,	,	PUNCTclause
éperdu	éperdre	VERB
et	et	CCONJ
palpitant	palpiter	VERB
auprès de	auprès de	ADP
la	le	DET
plus	plus	ADV
célèbre	célèbre	ADJ
beauté	beauté	NOUN
de	de	DET
Venise	Venise	PROPN
.	.	PUNCTsent
d'une part	d'une part	ADV
,	,	PUNCTclause
Anzoleto	Anzoleto	PROPN
sentait	sentir	VERB
fermenter	fermenter	VERB
en	en	ADP
lui	lui	PRON
l'	le	DET
ardeur	ardeur	NOUN
de	de	DET
un	un	PRON
désir	désir	VERB
que	que	SCONJ
la	le	DET
joie	joie	NOUN
de	de	DET
l'	le	NOUN
orgueil	orgueil	NOUN
satisfait	satisfaire	VERB
rendait	rendre	VERB
plus	plus	ADV
puissant	puissant	ADJ
encore	encore	ADV
;	;	PUNCTclause
mais	mais	CCONJ
d'un autre côté	d'un autre côté	ADP
,	,	PUNCTclause
la	le	DET
crainte	crainte	NOUN
de	de	DET
déplaire	déplaire	NOUN
bientôt	bientôt	ADV
,	,	PUNCTclause
de	de	DET
être	être	AUX
raillé	railler	VERB
,	,	PUNCTclause
éconduit	éconduire	VERB
et	et	CCONJ
traîtreusement	traîtreusement	ADV
accusé	accuser	VERB
auprès	auprès	ADV
du	du	ADP_DET
comte	comte	NOUN
,	,	PUNCTclause
venait	venir	VERB
refroidir	refroidir	VERB
ses	son	DET
transports	transport	NOUN
.	.	PUNCTsent
Prudent	Prudent	PROPN
et	et	CCONJ
rusé	ruser	VERB
comme	comme	ADP
un	un	DET
vrai	vrai	ADJ
Vénitien	Vénitien	PROPN
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
avait	avoir	VERB
pas	pas	ADV
,	,	PUNCTclause
depuis	depuis	ADP
six	six	NUM
ans	an	NOUN
,	,	PUNCTclause
aspiré	aspirer	VERB
au	au	ADP_DET
théâtre	théâtre	NOUN
sans	sans	ADP
se	se	PRON
être	être	AUX
bien	bien	ADV
renseigné	renseigner	VERB
sur	sur	ADP
le	le	DET
compte	compte	NOUN
de	de	DET
la	le:PRON	PRON
femme	femme	ADP
fantasque	fantasque	NOUN
et	et	CCONJ
impérieuse	impérieux	ADJ
qui	qui	PRON
en	en	PRON
gouvernait	gouverner	VERB
toutes	tout	ADJ
les	le	DET
intrigues	intriguer	VERB
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
tout	tout	ADJ
lieu	lieu	NOUN
de	de	DET
penser	penser	VERB
que	que	SCONJ
son	son	DET
règne	règne	NOUN
auprès de	auprès de	ADP
elle	elle	PRON
serait	être	AUX
de	de	DET
courte	court	ADJ
durée	durée	NOUN
;	;	PUNCTclause
et	et	CCONJ
si	si	SCONJ
il	il	PRON
ne	ne	ADV
se	se	PRON
était	être	AUX
pas	pas	ADV
soustrait	soustraire	VERB
à	à	ADP
ce	ce	DET
dangereux	dangereux	ADJ
honneur	honneur	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	SCONJ
,	,	PUNCTclause
ne	ne	ADV
le	le:PRON	PRON
prévoyant	prévoir	VERB
pas	pas	ADV
si	si	ADV
proche	proche	ADJ
,	,	PUNCTclause
il	il	PRON
avait	avoir	AUX
été	être	AUX
subjugué	subjuguer	VERB
et	et	CCONJ
enlevé	enlever	VERB
par	par	ADP
surprise	surprise	NOUN
.	.	PUNCTsent
Il	il	PRON
avait	avoir	AUX
cru	croire	VERB
se	se	PRON
faire	faire	AUX
tolérer	tolérer	VERB
par	par	ADP
sa	son	DET
courtoisie	courtoisie	NOUN
,	,	PUNCTclause
et	et	CCONJ
voilà	voilà	VERB
que	que	SCONJ
il	il	PRON
était	être	AUX
déjà	déjà	ADV
aimé	aimer	VERB
pour	pour	ADP
sa	son	DET
jeunesse	jeunesse	NOUN
,	,	PUNCTclause
sa	son	DET
beauté	beauté	NOUN
et	et	CCONJ
sa	son	DET
gloire	gloire	NOUN
naissante	naissant	ADJ
!	!	PUNCTsent
Maintenant	maintenant	ADV
,	,	PUNCTclause
se	se	PRON
dit	dire	VERB
Anzoleto	Anzoleto	PROPN
avec	avec	ADP
cette	ce	DET
rapidité	rapidité	NOUN
de	de	DET
aperçus	aperçu	NOUN
et	et	CCONJ
de	de	DET
conclusions	conclusion	NOUN
que	que	SCONJ
possèdent	posséder	VERB
quelques	quelque	DET
têtes	tête	NOUN
merveilleusement	merveilleusement	ADV
organisées	organiser	VERB
,	,	PUNCTclause
il	il	PRON
