# columns = TERM LEMMA POS PROB
# identifier = sand1845-16
# creator = Sand, George
# created = 1845
# isPartOf = Le meunier d’Angibault
# title = XVI. Diplomatie

↵↵↵	↵↵↵	PUNCTstruct
XVI	XVI	NUM
.	.	PUNCTsent
Diplomatie	diplomatie	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
au beau milieu de	au beau milieu de	ADP
ses	son	DET
réflexions	réflexion	NOUN
,	,	PUNCTclause
maître	maître	NOUN
Louis	Louis	PROPN
se	se	PRON
aperçut	apercevoir	VERB
que	que	SCONJ
le	le	DET
jeune homme	jeune homme	NOUN
,	,	PUNCTclause
dans	dans	ADP
ses	son	DET
préoccupations	préoccupation	NOUN
beaucoup	beaucoup	ADV
plus	plus	ADV
vives	vif	ADJ
,	,	PUNCTclause
se	se	PRON
éloignait	éloigner	VERB
sans	sans	ADP
songer	songer	VERB
à	à	ADP
lui	lui	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Holà	holà	INTJ
!	!	PUNCTsent
mon	mon	DET
camarade	camarade	NOUN
!	!	PUNCTsent
lui	lui	PRON
dit	dire	VERB
Grand-Louis	Grand-Louis	PROPN
en	en	ADP
courant	courant	NOUN
après	après	ADP
lui	lui	PRON
;	;	PUNCTclause
vous	vous	PRON
voulez	vouloir	VERB
donc	donc	ADV
me	me	PRON
laisser	laisser	VERB
votre	votre	DET
passeport	passeport	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
mon	mon	DET
cher	cher	ADJ
ami	ami	NOUN
,	,	PUNCTclause
je	je	PRON
vous	vous	PRON
oubliais	oublier	VERB
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
vous	vous	PRON
en	en	PRON
demande	demander	VERB
pardon	pardon	NOUN
!	!	PUNCTsent
répondit	répondre	VERB
Lémor	Lémor	PROPN
.	.	PUNCTsent
Vous	vous	PRON
me	me	PRON
avez	avoir	AUX
rendu	rendre	VERB
le	le	DET
service	service	NOUN
de	de	ADP
me	me	PRON
remettre	remettre	VERB
cette	ce	DET
lettre	lettre	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
vous	vous	PRON
dois	devoir	VERB
mille	mille	NUM
remerciements	remerciement	NOUN
...	...	PUNCTsent
Mais	mais	CCONJ
je	je	PRON
vous	vous	PRON
reconnais	reconnaître	VERB
à présent	à présent	ADV
.	.	PUNCTsent
Je	je	PRON
vous	vous	PRON
ai	avoir	AUX
déjà	déjà	ADV
vu	voir	VERB
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	AUX
pas	pas	ADV
longtemps	longtemps	ADV
.	.	PUNCTsent
ce	ce	PRON
est	être	AUX
à	à	ADP
votre	votre	DET
moulin	moulin	NOUN
que	que	PRON
je	je	PRON
ai	avoir	AUX
reçu	recevoir	VERB
l'	le	DET
hospitalité	hospitalité	NOUN
...	...	PUNCTsent
Un	un	DET
endroit	endroit	NOUN
superbe	superbe	ADJ
...	...	PUNCTsent
et	et	CCONJ
une	un	DET
si	si	SCONJ
bonne	bon	ADJ
mère	mère	NOUN
!	!	PUNCTsent
Vous	vous	PRON
êtes	être	AUX
un	un	DET
homme	homme	NOUN
heureux	heureux	ADJ
!	!	PUNCTsent
vous	vous	PRON
!	!	PUNCTsent
car	car	CCONJ
vous	vous	PRON
êtes	être	AUX
franc	franc	NOUN
et	et	CCONJ
serviable	serviable	ADJ
aussi	aussi	ADV
,	,	PUNCTclause
cela	cela	PRON
se	se	PRON
voit	voir	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Oui	oui	INTJ
!	!	PUNCTsent
