# columns = TERM LEMMA POS PROB
# identifier = sand1845-32
# creator = Sand, George
# created = 1845
# isPartOf = Le meunier d’Angibault
# title = XXXII. Le patachon

↵↵↵	↵↵↵	PUNCTstruct
XXXII	XXXII	X
.	.	PUNCTsent
Le	le	DET
patachon	patachon	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Vous	vous	PRON
vous	vous	PRON
promenez	promener	VERB
bien	bien	ADV
tard	tard	ADV
,	,	PUNCTclause
madame	madame	NOUN
Bricolin	Bricolin	PROPN
?	?	PUNCTsent
dit	dire	VERB
le	le	DET
mendiant	mendiant	NOUN
à	à	ADP
la	le	DET
vieille	vieux	ADJ
fermière	fermier	NOUN
;	;	PUNCTclause
vous	vous	PRON
avez	avoir	VERB
l'	le	DET
air	air	NOUN
de	de	ADP
chercher	chercher	VERB
quelqu'un	quelqu'un	PRON
?	?	PUNCTsent
Votre	votre	DET
petite-fille	petite-fille	NOUN
est	être	AUX
rentrée	rentrer	VERB
depuis	depuis	ADP
longtemps	longtemps	ADV
.	.	PUNCTsent
Son	son	DET
papa	papa	NOUN
l'	le:PRON	PRON
a	avoir	AUX
joliment	joliment	ADV
contrariée	contrarier	VERB
aujourd'hui	aujourd'hui	ADV
!...	!...	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ce	ce	PRON
est	être	AUX
bon	bon	ADJ
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
bon	bon	ADJ
,	,	PUNCTclause
Cadoche	Cadoche	PROPN
,	,	PUNCTclause
répondit	répondre	VERB
la	le	DET
vieille	vieux	ADJ
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
ai	avoir	AUX
pas	pas	ADV
de	de	DET
argent	argent	NOUN
sur	sur	ADP
moi	moi	PRON
.	.	PUNCTsent
Mais	mais	CCONJ
je	je	PRON
crois	croire	VERB
que	que	SCONJ
on	on	PRON
te	te	PRON
a	avoir	AUX
donné	donner	VERB
aujourd'hui	aujourd'hui	ADV
chez	chez	ADP
nous	nous	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
vous	vous	PRON
demande	demander	VERB
rien	rien	PRON
;	;	PUNCTclause
ma	mon	DET
journée	journée	NOUN
est	être	AUX
faite	faire	VERB
;	;	PUNCTclause
je	je	PRON
ai	avoir	AUX
bu	boire	VERB
trois	trois	NUM
petits	petit	ADJ
verres	verre	NOUN
ce	ce	PRON
soir	soir	NOUN
,	,	PUNCTclause
et	et	CCONJ
je	je	PRON
ne	ne	ADV
en	en	PRON
vas	aller	VERB
que	que	SCONJ
plus	plus	ADV
droit	droit	ADJ
.	.	PUNCTsent
Tenez	tenir	VERB
,	,	PUNCTclause
mère	mère	NOUN
Bricolin	Bricolin	PROPN
,	,	PUNCTclause
ce	ce	PRON
ne	ne	ADV
est	être	AUX
pas	pas	ADV
votre	votre	DET
mari	mari	NOUN
,	,	PUNCTclause
ni	ni	CCONJ
même	même	ADV
votre	votre	DET
garçon	garçon	NOUN
le	le	DET
gros	gros	ADJ
monsieur	monsieur	NOUN
,	,	PUNCTclause
qui	qui	PRON
porteraient	porter	VERB
la	le	DET
boisson	boisson	NOUN
comme	comme	ADP
je	je	PRON
le	le:PRON	PRON
fais	faire	VERB
à	à	ADP
mon	mon	DET
âge	âge	NOUN
.	.	PUNCTsent
Je	je	PRON
vous	vous	PRON
souhaite	souhaiter	VERB
le	le	DET
bonsoir	bonsoir	NOUN
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
en	en	PRON
vas	aller	VERB
coucher	coucher	VERB
à	à	ADP
Angibault	Angibault	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
À	à	ADP
Angibault	Angibault	PROPN
?	?	PUNCTsent
Cadoche	Cadoche	PROPN
,	,	PUNCTclause
mon	mon	DET
vieux	vieux	ADJ
,	,	PUNCTclause
tu	tu	PRON
vas	aller	VERB
à	à	ADP
Angibault	Angibault	PROPN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ça	ça	PRON
vous	vous	PRON
étonne	étonner	VERB
?	?	PUNCTsent
Ma	mon	DET
maison	maison	NOUN
est	être	AUX
à	à	ADP
deux	deux	NUM
grandes	grand	ADJ
lieues	lieue	NOUN
d'ici	d'ici	PUNCT
du côté de	du côté de	ADP
Jeu-les-Bois	Jeu-les-Bois	PROPN
.	.	PUNCTsent
Je	je	PRON
ne	ne	ADV
ai	avoir	VERB
pas	pas	ADV
besoin	besoin	NOUN
de	de	ADP
me	me	PRON
fatiguer	fatiguer	VERB
.	.	PUNCTsent
Je	je	PRON
me	me	PRON
en	en	PRON
vas	aller	VERB
passer	passer	VERB
la	le	DET
nuit	nuit	NOUN
chez	chez	ADP
mon	mon	DET
neveu	neveu	NOUN
le	le	DET
meunier	meunier	NOUN
;	;	PUNCTclause
je	je	PRON
y	y	PRON
suis	être	AUX
toujours	toujours	ADV
bien	bien	ADV
reçu	recevoir	VERB
,	,	PUNCTclause
et	et	CCONJ
on	on	PRON
ne	ne	ADV
me	me	PRON
met	mettre	VERB
pas	pas	ADV
à	à	ADP
la	le	DET
paille	paille	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
dans	dans	ADP
les	le	DET
autres	autre	ADJ
maisons	maison	NOUN
,	,	PUNCTclause
comme	comme	SCONJ
chez	chez	ADP
vous	vous	PRON
,	,	PUNCTclause
par exemple	par exemple	ADV
,	,	PUNCTclause
qui	qui	PRON
êtes	être	VERB
pourtant	pourtant	ADV
assez	assez	ADV
riches	riche	ADJ
encore	encore	ADV
,	,	PUNCTclause
malgré	malgré	ADP
les	le	DET
chauffeurs	chauffeur	NOUN
!	!	PUNCTsent
Chez	chez	ADP
mon	mon	DET
neveu	neveu	NOUN
,	,	PUNCTclause
il y a	il y a	VERB
un	un	DET
lit	lit	NOUN
pour	pour	ADP
moi	moi	PRON
dans	dans	ADP
le	le	DET
moulin	moulin	NOUN
,	,	PUNCTclause
et	et	CCONJ
on	on	PRON
ne	ne	ADV
a	avoir	VERB
