# columns = TERM LEMMA POS PROB
# identifier = sand1845-35
# creator = Sand, George
# created = 1845
# isPartOf = Le meunier d’Angibault
# title = XXXV. Rupture

↵↵↵	↵↵↵	PUNCTstruct
XXXV	XXXV	X
.	.	PUNCTsent
Rupture	rupture	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
En	en	ADP
approchant	approcher	VERB
du	du	ADP_DET
vallon	vallon	NOUN
de	de	ADP
la	le	DET
Vauvre	Vauvre	PROPN
,	,	PUNCTclause
nos	nos	DET
voyageurs	voyageur	NOUN
remarquèrent	remarquer	VERB
,	,	PUNCTclause
du côté de	du côté de	ADP
Blanchemont	Blanchemont	PROPN
,	,	PUNCTclause
une	un	DET
nappe	nappe	NOUN
immense	immense	ADJ
de	de	ADP
lourde	lourd	ADJ
fumée	fumé	NOUN
que	que	SCONJ
le	le	DET
soleil	soleil	NOUN
levant	lever	VERB
commençait	commencer	VERB
à	à	ADP
blanchir	blanchir	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
«	«	PUNCTclause
Regardez	regarder	VERB
donc	donc	ADV
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
meunier	meunier	NOUN
,	,	PUNCTclause
comme	comme	ADP
il y a	il y a	VERB
du	du	ADP_DET
brouillard	brouillard	NOUN
sur	sur	ADP
la	le	DET
Vauvre	Vauvre	PROPN
,	,	PUNCTclause
ce	ce	DET
matin	matin	NOUN
,	,	PUNCTclause
surtout	surtout	ADV
du	du	ADP_DET
côté	côté	NOUN
où	où	PRON
nous	nous	PRON
avons	avoir	VERB
toujours	toujours	ADV
envie	envie	NOUN
de	de	ADP
regarder	regarder	VERB
tous les deux	tous les deux	PRON
!	!	PUNCTsent
ça	ça	PRON
me	me	PRON
gêne	gêner	VERB
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
vois	voir	VERB
pas	pas	ADV
les	le	DET
toits	toit	NOUN
pointus	pointu	ADJ
de	de	ADP
mon	mon	DET
bon	bon	ADJ
vieux	vieux	ADJ
petit	petit	ADJ
château	château	NOUN
qui	qui	PRON
,	,	PUNCTclause
de	de	ADP
tous	tous	PRON
les	le	DET
côtés	côté	NOUN
,	,	PUNCTclause
quand	quand	SCONJ
je	je	PRON
fais	faire	VERB
mes	mon	DET
courses	course	NOUN
aux	au	ADP_DET
environs	environ	NOUN
,	,	PUNCTclause
sert	servir	VERB
