# columns = TERM LEMMA POS PROB
# identifier = verne1887c-05
# creator = Verne, Jules
# created = 1887
# isPartOf = Le chemin de France
# title = V

↵↵↵	↵↵↵	PUNCTstruct
V.	V.	PROPN
↵↵	↵↵	PUNCTstruct
Nous	nous	PRON
fîmes	faire	AUX
une	un	DET
bonne	bon	ADJ
promenade	promenade	NOUN
,	,	PUNCTclause
nous	nous	PRON
deux	deux	NUM
M.	M.	PROPN
Jean	Jean	PROPN
,	,	PUNCTclause
sur	sur	ADP
la	le	DET
route	route	NOUN
qui	qui	PRON
monte	monter	VERB
vers	vers	ADP
le	le	DET
Hagelberg	Hagelberg	PROPN
,	,	PUNCTclause
du côté de	du côté de	ADP
Brandenbourg	Brandenbourg	PROPN
.	.	PUNCTsent
On	on	PRON
causait	causer	VERB
plus	plus	ADV
que	que	SCONJ
on	on	PRON
ne	ne	ADV
regardait	regarder	VERB
.	.	PUNCTsent
en somme	en somme	ADV
,	,	PUNCTclause
il	il	PRON
ne	ne	ADV
y	y	PRON
avait	avoir	VERB
rien	rien	PRON
de	de	DET
bien	bien	ADV
curieux	curieux	ADJ
à	à	ADP
voir	voir	AUX
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
que	que	SCONJ
je	je	PRON
observai	observer	VERB
toutefois	toutefois	ADV
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	ADV
les	le	DET
gens	gens	NOUN
me	me	ADJ
dévisageaient	dévisager	VERB
beaucoup	beaucoup	ADV
.	.	PUNCTsent
Que	que	SCONJ
voulez	vouloir	VERB
vous	vous	PRON
?	?	PUNCTsent
Une	un	DET
figure	figure	NOUN
nouvelle	nouveau	ADJ
dans	dans	ADP
une	un	DET
petite	petit	ADJ
ville	ville	NOUN
,	,	PUNCTclause
ce	ce	PRON
est	être	AUX
un	un	DET
événement	événement	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Je	je	PRON
fis	faire	AUX
aussi	aussi	ADV
cette	ce	DET
remarque	remarque	NOUN
:	:	PUNCTclause
ce	ce	PRON
est	être	AUX
que	que	SCONJ
M.	M.	PROPN
Keller	Keller	PROPN
semblait	sembler	VERB
jouir	jouir	VERB
de	de	DET
l'	le	NOUN
estime	estimer	VERB
générale	général	ADJ
.	.	PUNCTsent
Dans	dans	ADP
le	le	DET
nombre	nombre	NOUN
de	de	DET
ceux	ceux	PRON
qui	qui	PRON
allaient	aller	VERB
et	et	CCONJ
venaient	venir	VERB
,	,	PUNCTclause
il	il	PRON
en	en	PRON
était	être	AUX
bien	bien	ADV
peu	peu	ADV
qui	qui	PRON
ne	ne	ADV
connussent	connaître	VERB
la	le	DET
famille	famille	NOUN
Keller	Keller	PROPN
.	.	PUNCTsent
Aussi	aussi	ADV
que	que	SCONJ
de	de	DET
coups	coup	NOUN
de	de	DET
chapeau	chapeau	NOUN
,	,	PUNCTclause
que	que	SCONJ
je	je	PRON
croyais	croire	VERB
devoir	devoir	VERB
rendre	rendre	VERB
fort	fort	ADJ
poliment	poliment	ADV
,	,	PUNCTclause
bien	bien	ADV
que	que	SCONJ
ils	ils	PRON
ne	ne	ADV
me	me	PRON
fussent	être	VERB
pas	pas	ADV
personnellement	personnellement	ADV
adressés	adresser	VERB
.	.	PUNCTsent
Il	il	PRON
ne	ne	ADV
fallait	falloir	VERB
point	point	ADV
manquer	manquer	VERB
à	à	ADP
la	le	DET
vieille	vieux	ADJ
politesse	politesse	NOUN
française	français	ADJ
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
De	de	DET
quoi	quoi	PRON
M.	M.	PROPN
Jean	Jean	PROPN
me	me	PRON
a	avoir	VERB
il	il	PRON
causé	causer	VERB
pendant	pendant	ADP
cette	ce	DET
promenade	promenade	NOUN
?	?	PUNCTsent
ha	ha	NOUN
!	!	PUNCTsent
de	de	DET
ce	ce	PRON
qui	qui	PRON
préoccupe	préoccuper	VERB
surtout	surtout	ADV
sa	son	DET
famille	famille	NOUN
,	,	PUNCTclause
de	de	DET
ce	ce	NOUN
procès	procès	ADJ
qui	qui	PRON
ne	ne	ADV
en	en	PRON
finissait	finir	VERB
pas	pas	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Il	il	PRON
me	me	PRON
raconta	raconter	VERB
l'	le	DET
affaire	affaire	NOUN
tout	tout	ADJ
au	au	ADP_DET
long	long	NOUN
.	.	PUNCTsent
Les	le	DET
fournitures	fourniture	NOUN
soumissionnées	soumissionner	VERB
avaient	avoir	AUX
été	être	AUX
livrées	livrer	VERB
dans	dans	ADP
les	le	DET
délais	délai	NOUN
voulus	vouloir	X
.	.	PUNCTsent
M.	M.	PUNCT
Keller	Keller	PROPN
,	,	PUNCTclause
étant	être	AUX
prussien	prussien	ADJ
,	,	PUNCTclause
remplissait	remplir	VERB
les	le	DET
conditions	condition	NOUN
exigées	exiger	VERB
par	par	ADP
le	le	DET
cahier	cahier	NOUN
des	un	ADP_DET
charges	charge	NOUN
,	,	PUNCTclause
et	et	CCONJ
le	le	DET
bénéfice	bénéfice	NOUN
,	,	PUNCTclause
légitimement	légitimement	ADV
,	,	PUNCTclause
