# columns = TERM LEMMA POS PROB
# identifier = zola1875-27
# creator = Zola, Émile
# created = 1875
# isPartOf = La faute de l’abbé Mouret
# title = X

↵↵↵	↵↵↵	PUNCTstruct
X.	X.	PROPN
↵↵	↵↵	PUNCTstruct
Huit	Huit	NUM
jours	jour	NOUN
plus tard	plus tard	ADV
,	,	PUNCTclause
il y a	il y a	VERB
de nouveau	de nouveau	ADV
un	un	DET
grand	grand	ADJ
voyage	voyage	NOUN
dans	dans	ADP
le	le	DET
parc	parc	NOUN
.	.	PUNCTsent
Il	il	PRON
se	se	PRON
agissait	agir	VERB
de	de	ADP
aller	aller	VERB
plus	plus	ADV
loin	loin	ADV
que	que	SCONJ
le	le	DET
verger	verger	NOUN
,	,	PUNCTclause
à	à	ADP
gauche	gauche	NOUN
,	,	PUNCTclause
du	du	ADP_DET
côté	côté	NOUN
des	un	ADP_DET
larges	large	ADJ
prairies	prairie	NOUN
que	que	SCONJ
quatre	quatre	NUM
ruisseaux	ruisseau	NOUN
traversaient	traverser	VERB
.	.	PUNCTsent
On	on	PRON
ferait	faire	VERB
plusieurs	plusieurs	DET
lieues	lieue	NOUN
en plein	en plein	ADV
herbe	herbe	NOUN
;	;	PUNCTclause
on	on	PRON
vivrait	vivre	VERB
de	de	ADP
sa	son	DET
pêche	pêche	NOUN
,	,	PUNCTclause
si	si	SCONJ
l'on	on	PRON
venait	venir	VERB
à	à	ADP
se	se	PRON
égarer	égarer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
je	je	PRON
emporte	emporter	VERB
mon	mon	DET
couteau	couteau	NOUN
,	,	PUNCTclause
dit	dire	VERB
Albine	Albine	PROPN
,	,	PUNCTclause
en	en	ADP
montrant	montrer	VERB
un	un	DET
couteau	couteau	NOUN
de	de	ADP
paysan	paysan	NOUN
,	,	PUNCTclause
à	à	ADP
lame	lame	NOUN
épaisse	épais	ADJ
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
mit	mettre	VERB
de	de	ADP
tout	tout	PRON
dans	dans	ADP
ses	son	DET
poches	poche	NOUN
,	,	PUNCTclause
de	de	ADP
la	le	DET
ficelle	ficelle	NOUN
,	,	PUNCTclause
du	du	ADP_DET
pain	pain	NOUN
,	,	PUNCTclause
des	un	DET
allumettes	allumette	NOUN
,	,	PUNCTclause
une	un	DET
petite	petit	ADJ
bouteille	bouteille	NOUN
de	de	ADP
vin	vin	NOUN
,	,	PUNCTclause
des	un	ADP_DET
chiffons	chiffon	NOUN
,	,	PUNCTclause
un	un	DET
peigne	peigne	NOUN
,	,	PUNCTclause
des	un	DET
aiguilles	aiguille	NOUN
.	.	PUNCTsent
Serge	Serge	PROPN
dut	devoir	VERB
prendre	prendre	VERB
une	un	DET
couverture	couverture	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
au	au	ADP_DET
bout	bout	NOUN
des	un	ADP_DET
tilleuls	tilleul	NOUN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
ils	ils	PRON
arrivèrent	arriver	VERB
devant	devant	ADP
les	le	DET
décombres	décombre	NOUN
du	du	ADP_DET
château	château	NOUN
,	,	PUNCTclause
la	le	DET
couverture	couverture	NOUN
l'	le:PRON	PRON
embarrassait	embarrasser	VERB
déjà	déjà	ADV
à	à	ADP
un	un	DET
tel	tel	PRON
point	point	ADV
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
la	le	DET
cacha	cacher	VERB
sous	sous	ADP
un	un	DET
pan	pan	NOUN
de	de	ADP
mur	mur	NOUN
écroulé	écrouler	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
soleil	soleil	NOUN
était	être	AUX
plus	plus	ADV
fort	fort	ADJ
.	.	PUNCTsent
Albine	albin	NOUN
se	se	PRON
était	être	AUX
attardée	attarder	VERB
à	à	ADP
ses	son	DET
préparatifs	préparatif	NOUN
.	.	PUNCTsent
Dans	dans	ADP
la	le	DET
matinée	matinée	NOUN
chaude	chaud	ADJ
,	,	PUNCTclause
ils	ils	PRON
se	se	PRON
en	en	ADP
allèrent	aller	VERB
côte à côte	côte à côte	ADV
,	,	PUNCTclause
presque	presque	ADV
raisonnables	raisonnable	ADJ
.	.	PUNCTsent
Ils	ils	PRON
faisaient	faire	VERB
jusque	jusque	ADP
à	à	ADP
des	un	DET
vingtaines	vingtaine	NOUN
de	de	ADP
pas	pas	ADV
,	,	PUNCTclause
sans	sans	ADP
se	se	PRON
pousser	pousser	VERB
,	,	PUNCTclause
pour	pour	ADP
rire	rire	VERB
.	.	PUNCTsent
Ils	ils	PRON
causaient	causer	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
,	,	PUNCTclause
je	je	PRON
ne	ne	ADV
me	me	PRON
éveille	éveiller	VERB
jamais	jamais	ADV
,	,	PUNCTclause
dit	dire	VERB
Albine	Albine	PROPN
.	.	PUNCTsent
je	je	PRON
ai	avoir	AUX
bien	bien	ADV
dormi	dormir	VERB
,	,	PUNCTclause
cette	ce	DET
nuit	nuit	NOUN
.	.	PUNCTsent
Et	et	CCONJ
toi	toi	PRON
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Moi	moi	PRON
aussi	aussi	ADV
,	,	PUNCTclause
répondit	répondre	VERB
Serge	Serge	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
reprit	reprendre	VERB
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
qu'est-ce que	qu'est-ce que	ADV
ça	ça	PRON
signifie	signifier	VERB
,	,	PUNCTclause
quand	quand	SCONJ
on	on	PRON
rêve	rêver	VERB
un	un	DET
oiseau	oiseau	NOUN
qui	qui	PRON
vous	vous	PRON
parle	parler	VERB
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Je	je	PRON
ne	ne	ADV
sais	savoir	VERB
pas	pas	ADV
…	…	PUNCTsent
Et	et	CCONJ
que	que	SCONJ
disait	dire	VERB
il	il	PRON
,	,	PUNCTclause
ton	ton	DET
oiseau	oiseau	NOUN
?	?	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
ha	ha	INTJ
!	!	PUNCTsent
je	je	PRON
ai	avoir	AUX
oublié	oublier	VERB
…	…	PUNCTsent
Il	il	PRON
disait	dire	VERB
des	un	DET
choses	chose	NOUN
très	très	ADV
bien	bien	ADV
,	,	PUNCTclause
beaucoup de	beaucoup de	DET
choses	chose	NOUN
qui	qui	PRON
me	me	PRON
semblaient	sembler	VERB
drôles	drôle	ADJ
…	…	PUNCTsent
Tiens	tien	NOUN
,	,	PUNCTclause
vois	voir	VERB
donc	donc	ADV
ce	ce	DET
gros	gros	ADJ
coquelicot	coquelicot	NOUN
,	,	PUNCTclause
là-bas	là-bas	ADV
.	.	PUNCTsent
Tu	tu	PRON
ne	ne	ADV
l'	le:PRON	PRON
auras	avoir	AUX
pas	pas	ADV
!	!	PUNCTsent
Tu	tu	PRON
ne	ne	ADV
l'	le:PRON	PRON
auras	avoir	AUX
pas	pas	ADV
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
prit	prendre	VERB
son	son	DET
élan	élan	NOUN
;	;	PUNCTclause
mais	mais	CCONJ
Serge	Serge	PROPN
,	,	PUNCTclause
grâce à	grâce à	ADP
ses	son	DET
longues	long	ADJ
jambes	jambe	NOUN
,	,	PUNCTclause
la	le	DET
devança	devancer	VERB
,	,	PUNCTclause
cueillit	cueillir	VERB
le	le	DET
coquelicot	coquelicot	NOUN
que	que	SCONJ
il	il	PRON
agita	agiter	VERB
victorieusement	victorieusement	ADV
.	.	PUNCTsent
Alors	alors	ADV
,	,	PUNCTclause
elle	elle	PRON
resta	rester	VERB
les	le	DET
lèvres	lèvre	NOUN
pincées	pincer	VERB
,	,	PUNCTclause
sans	sans	ADP
rien	rien	PRON
dire	dire	VERB
,	,	PUNCTclause
avec	avec	ADP
une	un	DET
grosse	gros	ADJ
envie	envie	NOUN
de	de	ADP
pleurer	pleurer	VERB
.	.	PUNCTsent
Lui	lui	PRON
,	,	PUNCTclause
ne	ne	ADV
sut	savoir	VERB
que	que	ADV
jeter	jeter	VERB
la	le	DET
fleur	fleur	NOUN
.	.	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
pour	pour	ADP
faire	faire	VERB
la	le	DET
paix	paix	NOUN
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Veux	vouloir	VERB
tu	tu	PRON
monter	monter	VERB
sur	sur	ADP
mon	mon	DET
dos	dos	NOUN
?	?	PUNCTsent
Je	je	PRON
te	te	PRON
porterai	porter	VERB
,	,	PUNCTclause
comme	comme	SCONJ
l'autre	l'autre	PRON
jour	jour	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Non	non	ADV
,	,	PUNCTclause
non	non	ADV
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Elle	elle	PRON
boudait	bouder	VERB
.	.	PUNCTsent
Mais	mais	CCONJ
elle	elle	PRON
ne	ne	ADV
avait	avoir	AUX
pas	pas	ADV
fait	faire	VERB
trente	trente	NUM
pas	pas	NOUN
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
se	se	PRON
retournait	retourner	VERB
,	,	PUNCTclause
toute	toute	DET
rieuse	rieur	NOUN
.	.	PUNCTsent
Une	un	DET
ronce	ronce	NOUN
la	le	DET
retenait	retenir	VERB
par	par	ADP
la	le	DET
jupe	jupe	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tiens	tien	NOUN
!	!	PUNCTsent
je	je	PRON
croyais	croire	VERB
que	que	SCONJ
ce	ce	DET
était	être	AUX
toi	toi	PRON
qui	qui	PRON
marchais	marcher	VERB
exprès	exprès	ADV
sur	sur	ADP
ma	mon	DET
robe	robe	NOUN
…	…	PUNCTsent
ce	ce	PRON
est	être	AUX
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
veut	vouloir	VERB
pas	pas	ADV
me	me	PRON
lâcher	lâcher	VERB
!	!	PUNCTsent
Décroche	décrocher	VERB
moi	moi	PRON
,	,	PUNCTclause
dis	dire	VERB
!	!	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
,	,	PUNCTclause
quand	quand	SCONJ
elle	elle	PRON
fut	être	AUX
décrochée	décrocher	VERB
,	,	PUNCTclause
ils	ils	PRON
marchèrent	marcher	VERB
de nouveau	de nouveau	ADV
à	à	ADP
côté	côté	NOUN
l'un	l'un	PRON
de	de	ADP
l'autre	l'autre	PRON
,	,	PUNCTclause
très	très	ADV
sagement	sagement	ADV
.	.	PUNCTsent
Albine	albin	NOUN
prétendait	prétendre	VERB
que	que	SCONJ
ce	ce	PRON
était	être	AUX
plus	plus	ADV
amusant	amusant	ADJ
,	,	PUNCTclause
de	de	ADP
se	se	PRON
promener	promener	VERB
ainsi	ainsi	ADV
,	,	PUNCTclause
comme	comme	ADP
des	un	DET
gens	gens	NOUN
sérieux	sérieux	ADJ
.	.	PUNCTsent
Ils	ils	PRON
venaient	venir	VERB
de	de	ADP
entrer	entrer	VERB
dans	dans	ADP
les	le	DET
prairies	prairie	NOUN
.	.	PUNCTsent
À	à	ADP
l'	le	DET
infini	infini	NOUN
,	,	PUNCTclause
devant	devant	ADP
eux	eux	PRON
,	,	PUNCTclause
se	se	PRON
déroulaient	dérouler	VERB
de	de	ADP
larges	large	ADJ
pans	pan	NOUN
de	de	ADP
herbes	herbe	NOUN
,	,	PUNCTclause
à peine	à peine	ADV
coupés	couper	VERB
de	de	ADP
loin	loin	ADV
en	en	ADP
loin	loin	ADV
par	par	ADP
le	le	DET
feuillage	feuillage	NOUN
tendre	tendre	VERB
de	de	ADP
un	un	DET
rideau	rideau	NOUN
de	de	ADP
