# columns = TERM LEMMA POS PROB
# identifier = zola1876-12
# creator = Zola, Émile
# created = 1876
# isPartOf = Son excellence Eugène Rougon
# title = XII

↵↵↵	↵↵↵	PUNCTstruct
XII	XII	X
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Clorinde	Clorinde	PROPN
était	être	AUX
alors	alors	ADV
dans	dans	ADP
un	un	DET
épanouissement	épanouissement	NOUN
de	de	DET
étrangeté	étrangeté	NOUN
et	et	CCONJ
de	de	DET
puissance	puissance	NOUN
.	.	PUNCTsent
Elle	elle	PRON
restait	rester	VERB
la	le	DET
grande	grand	ADJ
fille	fille	NOUN
excentrique	excentrique	ADJ
qui	qui	PRON
battait	battre	VERB
Paris	Paris	PROPN
sur	sur	ADP
un	un	DET
cheval	cheval	NOUN
de	de	DET
louage	louage	NOUN
pour	pour	ADP
conquérir	conquérir	VERB
un	un	DET
mari	mari	NOUN
,	,	PUNCTclause
mais	mais	CCONJ
la	le	DET
grande	grand	ADJ
fille	fille	NOUN
devenue	devenir	VERB
femme	femme	NOUN
,	,	PUNCTclause
le	le	DET
buste	buste	NOUN
élargi	élargir	VERB
,	,	PUNCTclause
les	le	DET
reins	rein	NOUN
solides	solide	ADJ
,	,	PUNCTclause
accomplissant	accomplir	VERB
posément	posément	ADV
les	le	DET
actes	acte	NOUN
les	le	DET
plus	plus	ADV
extraordinaires	extraordinaire	ADJ
,	,	PUNCTclause
ayant	avoir	AUX
réalisé	réaliser	VERB
son	son	DET
rêve	rêve	NOUN
longtemps	longtemps	ADV
caressé	caresser	VERB
de	de	DET
être	être	AUX
une	un	DET
force	force	NOUN
.	.	PUNCTsent
Ses	son	DET
interminables	interminable	ADJ
courses	course	NOUN
au	au	ADP_DET
fond	fond	NOUN
de	de	DET
quartiers	quartier	NOUN
perdus	perdre	VERB
,	,	PUNCTclause
ses	son	DET
correspondances	correspondance	NOUN
inondant	inonder	VERB
de	de	DET
lettres	lettre	NOUN
les	le	DET
quatre	quatre	NUM
coins	coin	NOUN
de	de	DET
la	le	AUX
France	France	PROPN
et	et	CCONJ
de	de	DET
l'	le	NOUN
Italie	Italie	PROPN
,	,	PUNCTclause
son	son	DET
continuel	continuel	NOUN
frottement	frottement	ADV
aux	au	ADP_DET
personnages	personnage	NOUN
politiques	politique	ADJ
dans	dans	ADP
l'	le	DET
intimité	intimité	NOUN
desquels	desquels	PUNCT
elle	elle	PRON
se	se	PRON
glissait	glisser	VERB
,	,	PUNCTclause
toute	tout	ADJ
cette	ce	DET
agitation	agitation	NOUN
désordonnée	désordonné	ADJ
,	,	PUNCTclause
pleine	plein	ADJ
de	de	DET
trous	trou	NOUN
,	,	PUNCTclause
sans	sans	ADP
but	but	NOUN
logique	logique	ADJ
,	,	PUNCTclause
avait	avoir	AUX
fini	finir	VERB
par	par	ADP
aboutir	aboutir	VERB
à	à	ADP
une	un	DET
influence	influence	NOUN
réelle	réel	ADJ
,	,	PUNCTclause
indiscutable	indiscutable	ADJ
.	.	PUNCTsent
Elle	elle	PRON
lâchait	lâcher	VERB
encore	encore	ADV
des	un	DET
choses	choser	VERB
énormes	énorme	ADJ
,	,	PUNCTclause
des	un	DET
projets	projet	NOUN
fous	fou	ADJ
,	,	PUNCTclause
des	un	DET
espoirs	espoir	NOUN
extravagants	extravagant	ADJ
,	,	PUNCTclause
lorsque	lorsque	SCONJ
elle	elle	PRON
causait	causer	VERB
sérieusement	sérieusement	ADV
;	;	PUNCTclause
elle	elle	PRON
promenait	promener	VERB
toujours	toujours	ADV
son	son	DET
vaste	vaste	ADJ
portefeuille	portefeuille	NOUN
crevé	crever	VERB
,	,	PUNCTclause
rattaché	rattacher	VERB
