# columns = TERM LEMMA POS PROB
# identifier = zola1877-01
# creator = Zola, Émile
# created = 1877
# isPartOf = L’assommoir
# title = I.

↵↵↵	↵↵↵	PUNCTstruct
I.	I.	PROPN
↵↵	↵↵	PUNCTstruct
Gervaise	Gervaise	PROPN
avait	avoir	AUX
attendu	attendu	ADP
Lantier	Lantier	PROPN
jusque	jusque	ADP
à	à	ADP
deux	deux	NUM
heures	heure	NOUN
du	du	ADP_DET
matin	matin	NOUN
.	.	PUNCTsent
Puis	puis	CCONJ
,	,	PUNCTclause
toute	tout	ADJ
frissonnante	frissonnant	ADJ
de	de	DET
être	être	AUX
restée	rester	VERB
en	en	ADP
camisole	camisole	NOUN
à	à	ADP
l'	le	DET
air	air	NOUN
vif	vif	ADJ
de	de	DET
la	le	AUX
fenêtre	fenêtre	NOUN
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
était	être	AUX
assoupie	assoupir	VERB
,	,	PUNCTclause
jetée	jeter	VERB
en	en	ADP
travers	travers	NOUN
du	du	ADP_DET
lit	lit	NOUN
,	,	PUNCTclause
fiévreuse	fiévreux	ADJ
,	,	PUNCTclause
les	le	DET
joues	joue	NOUN
trempées	tremper	VERB
de	de	DET
larmes	larme	NOUN
.	.	PUNCTsent
Depuis	depuis	ADP
huit	huit	NUM
jours	jour	NOUN
,	,	PUNCTclause
au	au	ADP_DET
sortir	sortir	NOUN
du	du	ADP_DET
Veau	Veau	PROPN
à	à	ADP
deux	deux	NUM
têtes	tête	NOUN
,	,	PUNCTclause
où	où	ADV
ils	ils	PRON
mangeaient	manger	VERB
,	,	PUNCTclause
il	il	PRON
l'	le	DET
envoyait	envoyer	NOUN
se	se	PRON
coucher	coucher	VERB
avec	avec	ADP
les	le	DET
enfants	enfant	NOUN
et	et	CCONJ
ne	ne	ADV
reparaissait	reparaître	VERB
que	que	ADV
tard	tard	ADV
dans	dans	ADP
la	le	DET
nuit	nuit	NOUN
,	,	PUNCTclause
en	en	ADP
racontant	raconter	VERB
que	que	SCONJ
il	il	PRON
cherchait	chercher	VERB
du	du	ADP_DET
travail	travail	NOUN
.	.	PUNCTsent
Ce	ce	DET
soir	soir	NOUN
,	,	PUNCTclause
pendant que	pendant que	SCONJ
elle	elle	PRON
guettait	guetter	VERB
son	son	DET
retour	retour	NOUN
,	,	PUNCTclause
elle	elle	PRON
croyait	croire	VERB
l'	le	DET
avoir	avoir	AUX
vu	voir	AUX
entrer	entrer	VERB
au	au	ADP_DET
bal	bal	NOUN
du	du	ADP_DET
Grand-Balcon	Grand-Balcon	PROPN
,	,	PUNCTclause
dont	dont	PRON
les	le	DET
dix	dix	NUM
fenêtres	fenêtre	NOUN
flambantes	flambant	ADJ
éclairaient	éclairer	VERB
de	de	DET
une	une	NUM
nappe	nappe	NOUN
de	de	DET
incendie	incendie	NOUN
la	le	DET
coulée	coulé	NOUN
noire	noir	ADJ
des	un	ADP_DET
boulevards	boulevard	NOUN
extérieurs	extérieur	ADJ
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
derrière	derrière	ADP
lui	lui	PRON
,	,	PUNCTclause
elle	elle	PRON
avait	avoir	AUX
aperçu	apercevoir	VERB
la	le	DET
petite	petit	ADJ
Adèle	Adèle	PROPN
,	,	PUNCTclause
une	un	DET
brunisseuse	brunisseur	ADJ
qui	qui	PRON
dînait	dîner	VERB
à	à	ADP
leur	leur	DET
restaurant	restaurant	NOUN
,	,	PUNCTclause
marchant	marcher	VERB
à	à	ADP
cinq	cinq	NUM
ou	ou	CCONJ
six	six	NUM
pas	pas	NOUN
,	,	PUNCTclause
les	le	DET
mains	main	NOUN
ballantes	ballant	ADJ
,	,	PUNCTclause
comme	comme	ADP
si	si	SCONJ
elle	elle	PRON
venait	venir	VERB
de	de	DET
lui	lui	PRON
quitter	quitter	VERB
le	le	DET
bras	bras	NOUN
pour	pour	ADP
ne	ne	ADV
pas	pas	ADV
passer	passer	VERB
ensemble	ensemble	ADV
sous	sous	ADP
la	le	DET
clarté	clarté	NOUN
crue	cru	ADJ
des	un	ADP_DET
globes	globe	NOUN
de	de	DET
la	le:PRON	PRON
porte	porter	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Quand	quand	SCONJ
Gervaise	Gervaise	PROPN
se	se	PRON
éveilla	éveiller	VERB
,	,	PUNCTclause
vers	vers	ADP
cinq	cinq	NUM
heures	heure	NOUN
,	,	PUNCTclause
raidie	raidi	NOUN
,	,	PUNCTclause
les	le	DET
reins	rein	NOUN
brisés	briser	VERB
,	,	PUNCTclause
elle	elle	PRON
éclata	éclater	VERB
en	en	ADP
sanglots	sanglot	NOUN
.	.	PUNCTsent
Lantier	Lantier	PROPN
ne	ne	ADV
était	être	AUX
pas	pas	ADV
rentré	rentrer	VERB
.	.	PUNCTsent
Pour	pour	ADP
la première fois	la première fois	ADV
,	,	PUNCTclause
il	il	PRON
découchait	découcher	VERB
.	.	PUNCTsent
Elle	elle	PRON
resta	rester	VERB
assise	asseoir	VERB
au	au	ADP_DET
bord	bord	NOUN
du	du	ADP_DET
lit	lit	NOUN
,	,	PUNCTclause
