# columns = TERM LEMMA POS PROB
# identifier = zola1877-08
# creator = Zola, Émile
# created = 1877
# isPartOf = L’assommoir
# title = VIII.

↵↵↵	↵↵↵	PUNCTstruct
VIII	VIII	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
samedi	samedi	NOUN
suivant	suivant	ADJ
,	,	PUNCTclause
Coupeau	Coupeau	PROPN
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
était	être	AUX
pas	pas	ADV
rentré	rentrer	VERB
dîner	dîner	VERB
,	,	PUNCTclause
amena	amener	VERB
Lantier	Lantier	PROPN
vers	vers	ADP
dix	dix	NUM
heures	heure	NOUN
.	.	PUNCTsent
Ils	ils	PRON
avaient	avoir	AUX
mangé	manger	VERB
ensemble	ensemble	ADV
des	un	ADP_DET
pieds	pied	NOUN
de	de	DET
mouton	mouton	NOUN
,	,	PUNCTclause
chez	chez	ADP
Thomas	Thomas	PROPN
,	,	PUNCTclause
à	à	ADP
Montmartre	Montmartre	PROPN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Faut	falloir	VERB
pas	pas	ADV
gronder	gronder	VERB
,	,	PUNCTclause
la	le	DET
bourgeoise	bourgeois	NOUN
,	,	PUNCTclause
dit	dire	VERB
le	le	DET
zingueur	zingueur	NOUN
.	.	PUNCTsent
Nous	nous	PRON
sommes	être	AUX
sages	sage	ADJ
,	,	PUNCTclause
tu	tu	ADJ
vois	voir	NOUN
…	…	PUNCTsent
ho	ho	NOUN
!	!	PUNCTsent
il	il	PRON
ne	ne	ADV
y	y	PRON
a	avoir	VERB
pas	pas	ADV
de	de	DET
danger	danger	NOUN
avec	avec	ADP
lui	lui	PRON
;	;	PUNCTclause
il	il	PRON
vous	vous	PRON
met	mettre	VERB
droit	droit	NOUN
dans	dans	ADP
le	le	DET
bon	bon	ADJ
chemin	chemin	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Et	et	CCONJ
il	il	PRON
raconta	raconter	VERB
comment	comment	ADV
ils	ils	PRON
se	se	PRON
étaient	être	AUX
rencontrés	rencontrer	VERB
rue	rue	NOUN
Rochechouart	Rochechouart	PROPN
.	.	PUNCTsent
Après	après	ADP
le	le	DET
dîner	dîner	NOUN
,	,	PUNCTclause
Lantier	Lantier	PROPN
avait	avoir	AUX
refusé	refuser	VERB
une	un	DET
consommation	consommation	NOUN
au	au	ADP_DET
café	café	NOUN
de	de	DET
la	le	AUX
Boule	Boule	PROPN
noire	noir	ADJ
,	,	PUNCTclause
en	en	ADP
disant	dire	VERB
que	que	SCONJ
,	,	PUNCTclause
lorsque	lorsque	SCONJ
on	on	PRON
était	être	AUX
marié	marier	VERB
avec	avec	ADP
une	un	DET
femme	femme	NOUN
gentille	gentil	NOUN
et	et	CCONJ
honnête	honnête	NOUN
,	,	PUNCTclause
on	on	PRON
ne	ne	ADV
devait	devoir	VERB
pas	pas	ADV
gouaper	gouaper	VERB
dans	dans	ADP
tous	tout	ADJ
les	le	DET
bastringues	bastringue	NOUN
.	.	PUNCTsent
Gervaise	Gervaise	PROPN
écoutait	écouter	VERB
avec	avec	ADP
un	un	DET
petit	petit	ADJ
sourire	sourire	NOUN
.	.	PUNCTsent
bien sûr	bien sûr	ADV
,	,	PUNCTclause
non	non	INTJ
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
songeait	songer	VERB
pas	pas	ADV
à	à	ADP
gronder	gronder	VERB
;	;	PUNCTclause
elle	elle	PRON
se	se	PRON
sentait	sentir	VERB
trop	trop	ADV
gênée	gêné	ADJ
.	.	PUNCTsent
Depuis	depuis	ADP
la	le	DET
fête	fête	NOUN
,	,	PUNCTclause
elle	elle	PRON
se	se	PRON
attendait	attendre	VERB
bien	bien	ADV
à	à	ADP
revoir	revoir	VERB
son	son	DET
ancien	ancien	ADJ
amant	amant	NOUN
un	un	ADP
jour	jour	NOUN
ou	ou	CCONJ
l'autre	l'autre	PRON
;	;	PUNCTclause
mais	mais	CCONJ
,	,	PUNCTclause
à	à	ADP
pareille	pareil	NOUN
heure	heure	ADJ
,	,	PUNCTclause
au moment de	au moment de	ADP
se	se	PRON
mettre	mettre	VERB
au	au	ADP_DET
lit	lit	NOUN
,	,	PUNCTclause
l'	le	DET
arrivée	arrivée	NOUN
brusque	brusque	ADJ
des	un	ADP_DET
deux	deux	NUM
hommes	homme	NOUN
l'	le	DET
avait	avoir	AUX
surprise	surprise	NOUN
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
les	le	DET
mains	main	NOUN
tremblantes	tremblant	ADJ
,	,	PUNCTclause
elle	elle	PRON
rattachait	rattacher	VERB
son	son	DET
chignon	chignon	NOUN
roulé	rouler	VERB
dans	dans	ADP
son	son	DET
cou	cou	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Tu	tu	ADJ
ne	ne	ADV
sais	savoir	VERB
pas	pas	ADV
,	,	PUNCTclause
reprit	reprendre	VERB
Coupeau	Coupeau	PROPN
,	,	PUNCTclause
puisque	puisque	SCONJ
il	il	PRON
a	avoir	AUX
eu	avoir	VERB
la	le	DET
délicatesse	délicatesse	NOUN
de	de	DET
refuser	refuser	NOUN
dehors	dehors	ADP
une	un	DET
consommation	consommation	NOUN
,	,	PUNCTclause
tu	tu	ADJ
vas	aller	ADJ
nous	nous	PRON
payer	payer	VERB
la	le	DET
goutte	goutte	NOUN
…	…	PUNCTsent
