# columns = TERM LEMMA POS PROB
# identifier = zola1882-12
# creator = Zola, Émile
# created = 1882
# isPartOf = Pot-Bouille
# title = XII

↵↵↵	↵↵↵	PUNCTstruct
XII	XII	X
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
matin	matin	NOUN
,	,	PUNCTclause
comme	comme	ADP
Berthe	Berthe	PROPN
se	se	PRON
trouvait	trouver	VERB
justement	justement	ADV
chez	chez	ADP
sa	son	DET
mère	mère	NOUN
,	,	PUNCTclause
Adèle	Adèle	PROPN
vint	venir	VERB
dire	dire	VERB
de	de	ADP
un	un	DET
air	air	NOUN
effaré	effarer	VERB
que	que	SCONJ
M.	M.	PROPN
Saturnin	Saturnin	PROPN
était	être	AUX
là	là	ADV
,	,	PUNCTclause
avec	avec	ADP
un	un	DET
homme	homme	NOUN
.	.	PUNCTsent
Le	le	DET
Dr.	Dr.	PROPN
Chassagne	Chassagne	PROPN
,	,	PUNCTclause
directeur	directeur	NOUN
de	de	ADP
l'	le	DET
asile	asile	NOUN
des	un	ADP_DET
Moulineaux	Moulineaux	PROPN
,	,	PUNCTclause
avait	avoir	AUX
déjà	déjà	ADV
plusieurs	plusieurs	DET
fois	fois	NOUN
prévenu	prévenir	VERB
les	le	DET
parents	parent	NOUN
que	que	SCONJ
il	il	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
garder	garder	VERB
leur	leur	DET
fils	fils	NOUN
,	,	PUNCTclause
car	car	CCONJ
il	il	PRON
ne	ne	ADV
jugeait	juger	VERB
pas	pas	ADV
chez	chez	ADP
lui	lui	PRON
la	le	DET
folie	folie	NOUN
assez	assez	ADV
caractérisée	caractérisé	ADJ
.	.	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
tout	tout	ADV
de	de	ADP
un	un	DET
coup	coup	NOUN
,	,	PUNCTclause
ayant	avoir	AUX
eu	avoir	VERB
connaissance	connaissance	NOUN
de	de	ADP
la	le	DET
signature	signature	NOUN
arrachée	arracher	VERB
par	par	ADP
Berthe	Berthe	PROPN
à	à	ADP
son	son	DET
frère	frère	NOUN
pour	pour	ADP
les	le	DET
trois	trois	NUM
mille	mille	NUM
francs	franc	NOUN
,	,	PUNCTclause
redoutant	redouter	VERB
de	de	ADP
être	être	AUX
compromis	compromettre	VERB
,	,	PUNCTclause
il	il	PRON
le	le:PRON	PRON
renvoyait	renvoyer	VERB
à	à	ADP
la	le	DET
famille	famille	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Ce	ce	PRON
fut	être	AUX
une	un	DET
épouvante	épouvante	NOUN
.	.	PUNCTsent
madame	madame	NOUN
Josserand	Josserand	PROPN
,	,	PUNCTclause
qui	qui	PRON
craignait	craindre	VERB
de	de	ADP
être	être	AUX
étranglée	étrangler	VERB
,	,	PUNCTclause
voulut	vouloir	VERB
causer	causer	VERB
avec	avec	ADP
l'	le	DET
homme	homme	NOUN
.	.	PUNCTsent
Celui	celui	PRON
déclara	déclarer	VERB
simplement	simplement	ADV
:	:	PUNCTclause
↵↵	↵↵	PUNCTstruct
—	—	PUNCTclause
Monsieur	monsieur	NOUN
le	le	DET
directeur	directeur	NOUN
me	me	PRON
a	avoir	AUX
dit	dire	VERB
de	de	ADP
vous	vous	PRON
dire	dire	VERB
que	que	SCONJ
lorsque	lorsque	SCONJ
on	on	PRON
est	être	AUX
bon	bon	ADJ
pour	pour	ADP
donner	donner	VERB
de	de	ADP
l'	le	DET
argent	argent	NOUN
à	à	ADP
ses	son	DET
parents	parent	NOUN
,	,	PUNCTclause
on	on	PRON
est	être	AUX
bon	bon	ADJ
pour	pour	ADP
vivre	vivre	VERB
chez	chez	ADP
