# columns = TERM LEMMA POS PROB
# identifier = zola1882-13
# creator = Zola, Émile
# created = 1882
# isPartOf = Pot-Bouille
# title = XIII

↵↵↵	↵↵↵	PUNCTstruct
XIII	XIII	X
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Depuis	depuis	ADP
quelque	quelque	DET
temps	temps	NOUN
,	,	PUNCTclause
M.	M.	PROPN
Gourd	Gourd	PROPN
rôdait	rôder	VERB
de	de	DET
un	un	NUM
air	air	NOUN
de	de	DET
mystère	mystère	NOUN
et	et	CCONJ
de	de	DET
inquiétude	inquiétude	NOUN
.	.	PUNCTsent
On	on	PRON
le	le:PRON	PRON
rencontrait	rencontrer	VERB
filant	filer	VERB
sans	sans	ADP
bruit	bruit	NOUN
,	,	PUNCTclause
l'	le	DET
œil	œil	NOUN
ouvert	ouvert	ADJ
,	,	PUNCTclause
l'	le	DET
oreille	oreille	NOUN
tendue	tendu	ADJ
,	,	PUNCTclause
montant	monter	VERB
sans cesse	sans cesse	ADV
les	le	DET
deux	deux	NUM
escaliers	escalier	NOUN
,	,	PUNCTclause
où	où	ADV
des	un	DET
locataires	locataire	NOUN
l'	le:PRON	PRON
avaient	avoir	AUX
même	même	ADV
aperçu	apercevoir	VERB
faisant	faire	AUX
des	un	ADP_DET
rondes	ronde	NOUN
de	de	DET
nuit	nuit	NOUN
.	.	PUNCTsent
Certainement	certainement	ADV
,	,	PUNCTclause
la	le	DET
moralité	moralité	NOUN
de	de	DET
la	le	AUX
maison	maison	NOUN
le	le:PRON	PRON
préoccupait	préoccuper	VERB
;	;	PUNCTclause
il	il	PRON
y	y	PRON
sentait	sentir	VERB
comme	comme	ADP
un	un	DET
souffle	souffle	NOUN
de	de	DET
choses	choser	VERB
déshonnêtes	déshonnête	ADJ
qui	qui	PRON
troublait	troubler	VERB
la	le	DET
nudité	nudité	NOUN
froide	froid	ADJ
de	de	DET
la	le	AUX
cour	cour	NOUN
,	,	PUNCTclause
la	le	DET
paix	paix	NOUN
recueillie	recueillir	VERB
du	du	ADP_DET
vestibule	vestibule	NOUN
,	,	PUNCTclause
les	le	DET
belles	beau	ADJ
vertus	vertu	NOUN
domestiques	domestique	ADJ
des	un	ADP_DET
étages	étage	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Un	un	DET
soir	soir	NOUN
,	,	PUNCTclause
Octave	Octave	PROPN
