# columns = TERM LEMMA POS PROB
# identifier = zola1890-03
# creator = Zola, Émile
# created = 1890
# isPartOf = La bête humaine
# title = III

↵↵↵	↵↵↵	PUNCTstruct
III	III	PRON
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Le	le	DET
lendemain	lendemain	NOUN
,	,	PUNCTclause
un	un	DET
dimanche	dimanche	NOUN
,	,	PUNCTclause
cinq	cinq	NUM
heures	heure	NOUN
du	du	ADP_DET
matin	matin	NOUN
venaient	venir	VERB
de	de	DET
sonner	sonner	NOUN
à	à	ADP
tous	tout	ADJ
les	le	DET
clochers	clocher	NOUN
du	du	ADP_DET
Havre	Havre	PROPN
,	,	PUNCTclause
lorsque	lorsque	SCONJ
Roubaud	Roubaud	PROPN
descendit	descendre	VERB
sous	sous	ADP
la	le	DET
marquise	marquis	NOUN
de	de	DET
la	la	NUM
gare	gare	NOUN
,	,	PUNCTclause
pour	pour	ADP
prendre	prendre	VERB
son	son	DET
service	service	NOUN
.	.	PUNCTsent
Il	il	PRON
faisait	faire	AUX
encore	encore	ADV
nuit	nuit	NOUN
noire	noir	ADJ
;	;	PUNCTclause
mais	mais	CCONJ
le	le	DET
vent	vent	NOUN
,	,	PUNCTclause
qui	qui	PRON
soufflait	souffler	VERB
de	de	DET
la	le	AUX
mer	mer	NOUN
,	,	PUNCTclause
avait	avoir	AUX
grandi	grandir	VERB
et	et	CCONJ
poussait	pousser	VERB
les	le	DET
brumes	brume	NOUN
,	,	PUNCTclause
noyant	noyer	VERB
les	le	DET
coteaux	coteau	NOUN
dont	dont	PRON
les	le	DET
hauteurs	hauteur	NOUN
se	se	PRON
étendent	étendre	VERB
de	de	DET
Sainte-Adresse	Sainte-Adresse	PROPN
au	au	ADP_DET
fort	fort	NOUN
de	de	DET
Tourneville	Tourneville	PROPN
;	;	PUNCTclause
tandis que	tandis que	SCONJ
,	,	PUNCTclause
vers	vers	ADP
l'	le	DET
ouest	ouest	NOUN
,	,	PUNCTclause
au-dessus	au-dessus	ADV
du	du	ADP_DET
large	large	NOUN
,	,	PUNCTclause
une	un	DET
éclaircie	éclaircie	NOUN
se	se	PRON
montrait	montrer	VERB
,	,	PUNCTclause
un	un	DET
pan	pan	NOUN
de	de	DET
ciel	ciel	NOUN
,	,	PUNCTclause
où	où	ADV
brillaient	briller	VERB
les	le	DET
dernières	dernier	ADJ
étoiles	étoile	NOUN
.	.	PUNCTsent
Sous	sous	ADP
la	le	DET
marquise	marquis	NOUN
,	,	PUNCTclause
les	le	DET
becs de gaz	becs de gaz	NOUN
brûlaient	brûler	VERB
toujours	toujours	ADV
,	,	PUNCTclause
pâlis	pâlir	VERB
par	par	ADP
le	le	DET
froid	froid	NOUN
humide	humide	ADJ
de	de	DET
l'	le:PRON	PRON
heure	heure	NOUN
matinale	matinal	ADJ
;	;	PUNCTclause
et	et	CCONJ
il y a	il y a	VERB
là	là	ADV
le	le	DET
premier	premier	ADJ
train	train	NOUN
de	de	DET
Montivilliers	Montivilliers	PROPN
,	,	PUNCTclause
que	que	SCONJ
formaient	former	VERB
des	un	DET
hommes	homme	NOUN
de	de	DET
équipe	équipe	NOUN
,	,	PUNCTclause
aux	au	ADP_DET
ordres	ordre	NOUN
du	du	ADP_DET
sous-chef	sous-chef	NOUN
de	de	DET
nuit	nuit	NOUN
.	.	PUNCTsent
Les	le	DET
portes	porte	NOUN
des	un	ADP_DET
salles	salle	NOUN
ne	ne	ADV
étaient	être	AUX
pas	pas	ADV
ouvertes	ouvert	ADJ
,	,	PUNCTclause
les	le	DET
quais	quai	NOUN
se	se	PRON
étendaient	étendre	VERB
déserts	désert	ADJ
,	,	PUNCTclause
dans	dans	ADP
ce	ce	DET
réveil	réveil	NOUN
engourdi	engourdir	VERB
de	de	DET
la	le	AUX
gare	gare	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Comme	comme	ADP
il	il	PRON
sortait	sortir	VERB
de	de	DET
chez	chez	NOUN
lui	lui	PRON
,	,	PUNCTclause
en haut	en haut	ADV
,	,	PUNCTclause
au-dessus	au-dessus	ADV
des	un	ADP_DET
salles	salle	NOUN
de	de	DET
attente	attente	NOUN
,	,	PUNCTclause
Roubaud	Roubaud	PROPN
avait	avoir	AUX
trouvé	trouver	VERB
la	le	DET
femme	femme	NOUN
du	du	ADP_DET
caissier	caissier	NOUN
,	,	PUNCTclause
madame	madame	NOUN
Lebleu	Lebleu	PROPN
,	,	PUNCTclause
immobile	immobile	ADJ
au	au	ADP_DET
milieu	milieu	NOUN
du	du	ADP_DET
couloir	couloir	NOUN
central	central	ADJ
,	,	PUNCTclause
sur	sur	ADP
lequel	lequel	PRON
donnaient	donner	VERB
les	le	DET
logements	logement	NOUN
des	un	ADP_DET
employés	employé	NOUN
.	.	PUNCTsent
Depuis	depuis	ADP
des	un	DET
semaines	semaine	NOUN
,	,	PUNCTclause
cette	ce	DET
dame	dame	NOUN
se	se	PRON
relevait	relever	VERB
la	le	DET
nuit	nuit	NOUN
,	,	PUNCTclause
pour	pour	ADP
guetter	guetter	VERB
mademoiselle	mademoiselle	NOUN
Guichon	Guichon	PROPN
,	,	PUNCTclause
la	le	DET
buraliste	buraliste	NOUN
,	,	PUNCTclause
que	que	SCONJ
elle	elle	PRON
soupçonnait	soupçonner	VERB
de	de	DET
une	un	PRON
intrigue	intrigue	ADJ
avec	avec	ADP
le	le	DET
chef	chef	NOUN
de	de	DET
gare	gare	NOUN
,	,	PUNCTclause
M.	M.	PROPN
Dabadie	Dabadie	PROPN
.	.	PUNCTsent
D'ailleurs	d'ailleurs	ADV
,	,	PUNCTclause
elle	elle	PRON
ne	ne	ADV
avait	avoir	AUX
jamais	jamais	ADV
surpris	surprendre	VERB
la	le	DET
moindre	moindre	ADJ
chose	chose	NOUN
,	,	PUNCTclause
pas	pas	ADV
une	un	DET
ombre	ombre	NOUN
,	,	PUNCTclause
pas	pas	ADV
un	un	DET
souffle	souffle	NOUN
.	.	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
ce	ce	DET
matin	matin	NOUN
encore	encore	ADV
,	,	PUNCTclause
elle	elle	PRON
était	être	AUX
vite	vite	ADJ
rentrée	rentrer	VERB
chez	chez	ADP
elle	elle	PRON
,	,	PUNCTclause
ne	ne	ADV
rapportant	rapporter	VERB
que	que	SCONJ
l'	le	DET
étonnement	étonnement	NOUN
de	de	DET
avoir	avoir	AUX
aperçu	apercevoir	VERB
