# columns = TERM LEMMA POS PROB
# identifier = zola1890-10
# creator = Zola, Émile
# created = 1890
# isPartOf = La bête humaine
# title = X

↵↵↵	↵↵↵	PUNCTstruct
X.	X.	PROPN
↵↵	↵↵	PUNCTstruct
Tante	tante	ADJ
Phasie	Phasie	PROPN
était	être	AUX
morte	mourir	VERB
,	,	PUNCTclause
le	le	DET
jeudi	jeudi	NOUN
soir	soir	NOUN
,	,	PUNCTclause
à	à	ADP
neuf	neuf	NUM
heures	heure	NOUN
,	,	PUNCTclause
dans	dans	ADP
une	un	DET
dernière	dernier	ADJ
convulsion	convulsion	NOUN
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
vainement	vainement	ADV
,	,	PUNCTclause
Misard	Misard	PROPN
,	,	PUNCTclause
qui	qui	PRON
attendait	attendre	VERB
près de	près de	ADP
son	son	DET
lit	lit	NOUN
,	,	PUNCTclause
avait	avoir	AUX
essayé	essayer	VERB
de	de	DET
lui	lui	PRON
fermer	fermer	VERB
les	le	DET
paupières	paupière	NOUN
:	:	PUNCTclause
les	le	DET
yeux	œil	NOUN
obstinés	obstiner	VERB
restaient	rester	VERB
ouverts	ouvert	NOUN
,	,	PUNCTclause
la	le	DET
tête	tête	NOUN
se	se	PRON
était	être	AUX
raidie	raidi	NOUN
,	,	PUNCTclause
penchée	pencher	VERB
un	un	DET
peu	peu	NOUN
sur	sur	ADP
l'	le	DET
épaule	épaule	NOUN
,	,	PUNCTclause
comme	comme	ADP
pour	pour	ADP
regarder	regarder	VERB
dans	dans	ADP
la	le	DET
chambre	chambre	NOUN
,	,	PUNCTclause
tandis que	tandis que	SCONJ
un	un	DET
retrait	retrait	NOUN
des	un	ADP_DET
lèvres	lèvre	NOUN
semblait	sembler	VERB
les	le	DET
retrousser	retrousser	NOUN
de	de	DET
un	un	PRON
rire	rire	VERB
goguenard	goguenard	NOUN
.	.	PUNCTsent
Une	un	DET
seule	seul	ADJ
chandelle	chandelle	NOUN
brûlait	brûler	VERB
,	,	PUNCTclause
plantée	planter	VERB
au	au	ADP_DET
coin	coin	NOUN
de	de	DET
une	un	PRON
table	table	ADJ
,	,	PUNCTclause
près de	près de	ADP
elle	elle	PRON
.	.	PUNCTsent
Et	et	CCONJ
les	le	DET
trains	train	NOUN
qui	qui	PRON
,	,	PUNCTclause
depuis	depuis	ADP
neuf	neuf	NUM
heures	heure	NOUN
,	,	PUNCTclause
passaient	passer	VERB
là	là	ADV
,	,	PUNCTclause
à	à	ADP
toute	tout	ADJ
vitesse	vitesse	NOUN
,	,	PUNCTclause
dans	dans	ADP
l'	le	DET
ignorance	ignorance	NOUN
de	de	DET
cette	ce	NOUN
morte	mourir	VERB
tiède	tiède	ADP
encore	encore	ADV
,	,	PUNCTclause
l'	le	DET
ébranlaient	ébranler	NOUN
une	un	DET
seconde	second	ADJ
,	,	PUNCTclause
sous	sous	ADP
la	le	DET
flamme	flamme	NOUN
vacillante	vacillant	ADJ
de	de	DET
la	le	AUX
chandelle	chandelle	NOUN
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
tout de suite	tout de suite	ADV
,	,	PUNCTclause
Misard	Misard	PROPN
,	,	PUNCTclause
pour	pour	ADP
se	se	PRON
débarrasser	débarrasser	VERB
de	de	DET
Flore	Flore	PROPN
,	,	PUNCTclause
l'	le	DET
envoya	envoyer	NOUN
déclarer	déclarer	VERB
le	le	DET
décès	décès	NOUN
à	à	ADP
Doinville	Doinville	PROPN
.	.	PUNCTsent
Elle	elle	PRON
ne	ne	ADV
pouvait	pouvoir	VERB
pas	pas	ADV
être	être	AUX
de	de	DET
retour	retour	NOUN
avant	avant	ADP
onze	onze	NUM
heures	heure	NOUN
,	,	PUNCTclause
il	il	PRON
avait	avoir	VERB
deux	deux	NUM
heures	heure	NOUN
devant	devant	ADP
lui	lui	PRON
.	.	PUNCTsent
Tranquillement	tranquillement	ADV
,	,	PUNCTclause
il	il	PRON
se	se	PRON
coupa	couper	VERB
d'abord	d'abord	ADV
un	un	DET
morceau	morceau	NOUN
de	de	DET
pain	pain	NOUN
,	,	PUNCTclause
car	car	CCONJ
il	il	PRON
se	se	PRON
sentait	sentir	VERB
le	le	DET
ventre	ventre	NOUN
vide	vide	ADJ
,	,	PUNCTclause
ne	ne	ADV
ayant	avoir	VERB
pas	pas	ADV
dîné	dîner	DET
,	,	PUNCTclause
à cause de	à cause de	ADP
cette	ce	DET
agonie	agonie	NOUN
qui	qui	PRON
ne	ne	ADV
en	en	PRON
finissait	finir	VERB
plus	plus	ADV
.	.	PUNCTsent
Et	et	CCONJ
il	il	PRON
mangeait	manger	VERB
debout	debout	ADV
,	,	PUNCTclause
allant	aller	VERB
et	et	CCONJ
venant	venir	VERB
,	,	PUNCTclause
rangeant	ranger	VERB
les	le	DET
choses	choser	VERB
.	.	PUNCTsent
Des	un	ADP_DET
quintes	quint	NOUN
de	de	DET
toux	toux	NOUN
l'	le	DET
arrêtaient	arrêter	NOUN
,	,	PUNCTclause
plié	plier	VERB
en	en	ADP
deux	deux	NUM
,	,	PUNCTclause
à	à	ADP
moitié	moitié	NOUN
mort	mourir	VERB
lui-même	lui-même	PRON
,	,	PUNCTclause
si	si	SCONJ
maigre	maigre	ADJ
,	,	PUNCTclause
si	si	ADV
chétif	chétif	ADJ
,	,	PUNCTclause
avec	avec	ADP
ses	son	DET
yeux	œil	NOUN
ternes	terne	ADJ
et	et	CCONJ
ses	son	DET
cheveux	cheveu	NOUN
décolorés	décoloré	ADJ
,	,	PUNCTclause
que	que	SCONJ
il	il	PRON
ne	ne	ADV
paraissait	paraître	VERB
pas	pas	ADV
devoir	devoir	VERB
jouir	jouir	VERB
longtemps	longtemps	ADV
de	de	DET
sa	son	AUX
victoire	victoire	NOUN
.	.	PUNCTsent
N'importe	n'importe	ADV
,	,	PUNCTclause
il	il	PRON
l'	le:PRON	PRON
avait	avoir	AUX
mangée	manger	VERB
,	,	PUNCTclause
cette	ce	DET
gaillarde	gaillard	NOUN
,	,	PUNCTclause
cette	ce	DET
grande	grand	ADJ
et	et	CCONJ
belle	beau	ADJ
femme	femme	NOUN
,	,	PUNCTclause
comme	comme	ADP
l'	le	DET
insecte	insecte	NOUN
mange	manger	VERB
le	le	DET
chêne	chêne	NOUN
;	;	PUNCTclause
elle	elle	PRON
était	être	AUX
sur	sur	ADP
le	le	DET
dos	dos	NOUN
,	,	PUNCTclause
finie	finir	NOUN
,	,	PUNCTclause
réduite	réduire	VERB
à	à	ADP
rien	rien	PRON
,	,	PUNCTclause
et	et	CCONJ
lui	lui	PRON
durait	durer	VERB
encore	encore	ADV
.	.	PUNCTsent
Mais	mais	CCONJ
une	un	DET
idée	idée	NOUN
le	le:PRON	PRON
fit	faire	AUX
se	se	PRON
agenouiller	agenouiller	VERB
,	,	PUNCTclause
afin de	afin de	ADP
prendre	prendre	VERB
sous	sous	ADP
le	le	DET
lit	lit	NOUN
une	un	DET
terrine	terrine	NOUN
,	,	PUNCTclause
où	où	ADV
se	se	PRON
trouvait	trouver	VERB
un	un	DET
reste	reste	NOUN
de	de	DET
eau	eau	NOUN
de	de	DET
son	son	NOUN
,	,	PUNCTclause
préparée	préparer	VERB
pour	pour	ADP
un	un	DET
lavement	lavement	NOUN
:	:	PUNCTclause
depuis	depuis	ADP
que	que	SCONJ
elle	elle	PRON
se	se	PRON
doutait	douter	VERB
du	du	ADP_DET
coup	coup	NOUN
,	,	PUNCTclause
ce	ce	PRON
ne	ne	ADV
était	être	AUX
plus	plus	ADV
dans	dans	ADP
le	le	DET
sel	sel	NOUN
,	,	PUNCTclause
ce	ce	PRON
était	être	AUX
dans	dans	ADP
ses	son	DET
lavements	lavement	NOUN
que	que	SCONJ
il	il	PRON
mettait	mettre	VERB
de	de	DET
la	le:PRON	PRON
mort-aux-rats	mort-aux-rats	ADP_DET
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
trop	trop	ADV
bête	bête	ADJ
,	,	PUNCTclause
ne	ne	ADV
se	se	PRON
méfiant	méfier	VERB
pas	pas	ADV
de	de	DET
ce	ce	NOUN
côté	côté	NOUN
,	,	PUNCTclause
elle	elle	PRON
l'	le:PRON	PRON
avait	avoir	AUX
avalée	avaler	VERB
tout de même	tout de même	ADV
,	,	PUNCTclause
pour	pour	ADP
de	de	DET
bon	bon	ADJ
cette fois ci	cette fois ci	PRON
.	.	PUNCTsent
dès que	dès que	SCONJ
il	il	PRON
eut	avoir	VERB
vidé	vider	VERB
la	le	DET
terrine	terrine	NOUN
dehors	dehors	ADV
,	,	PUNCTclause
il	il	PRON
rentra	rentrer	VERB
,	,	PUNCTclause
lava	laver	VERB
avec	avec	ADP
une	un	DET
éponge	éponge	NOUN
le	le	DET
carreau	carreau	NOUN
de	de	DET
la	la	NUM
chambre	chambre	NOUN
,	,	PUNCTclause
souillé	souiller	VERB
de	de	DET
taches	tache	NOUN
.	.	PUNCTsent
Aussi	aussi	ADV
pourquoi	pourquoi	ADV
se	se	PRON
était	être	AUX
elle	elle	PRON
obstinée	obstiner	VERB
?	?	PUNCTsent
Elle	elle	PRON
avait	avoir	AUX
voulu	vouloir	VERB
faire	faire	AUX
la	le	DET
maligne	malin	NOUN
,	,	PUNCTclause
tant pis	tant pis	ADV
!	!	PUNCTsent
Lorsque	lorsque	SCONJ
,	,	PUNCTclause
dans	dans	ADP
un	un	DET
ménage	ménage	NOUN
,	,	PUNCTclause
on	on	PRON
joue	jouer	VERB
à	à	ADP
qui	qui	PRON
enterrera	enterrer	VERB
l'autre	l'autre	PRON
,	,	PUNCTclause
sans	sans	ADP
mettre	mettre	VERB
le	le	DET
monde	monde	NOUN
dans	dans	ADP
la	le	DET
dispute	dispute	NOUN
,	,	PUNCTclause
on	on	PRON
ouvre	ouvrir	VERB
l'	le	DET
œil	œil	NOUN
.	.	PUNCTsent
Il	il	PRON
en	en	PRON
était	être	AUX
fier	fier	ADJ
,	,	PUNCTclause
il	il	PRON
en	en	PRON
ricanait	ricaner	VERB
comme	comme	ADP
de	de	DET
une	un	PRON
bonne	bon	ADJ
histoire	histoire	NOUN
,	,	PUNCTclause
de	de	DET
la	le:PRON	PRON
drogue	drogue	NOUN
avalée	avaler	VERB
si	si	SCONJ
innocemment	innocemment	ADV
par	par	ADP
en bas	en bas	ADV
,	,	PUNCTclause
quand	quand	SCONJ
elle	elle	PRON
surveillait	surveiller	VERB
avec	avec	ADP
tant de	tant de	DET
soin	soin	NOUN
tout	tout	ADJ
ce	ce	PRON
qui	qui	PRON
entrait	entrer	VERB
par	par	ADP
en haut	en haut	ADV
.	.	PUNCTsent
À	à	ADP
ce	ce	DET
moment	moment	NOUN
,	,	PUNCTclause
un	un	DET
express	express	NOUN
qui	qui	PRON
passa	passer	VERB
,	,	PUNCTclause
enveloppa	envelopper	VERB
la	le	DET
maison	maison	NOUN
basse	bas	ADJ
de	de	DET
un	un	SCONJ
tel	tel	ADJ
souffle	souffle	NOUN
de	de	DET
tempête	tempête	NOUN
,	,	PUNCTclause
que	que	SCONJ
,	,	PUNCTclause
malgré	malgré	ADP
l'	le	DET
habitude	habitude	NOUN
,	,	PUNCTclause
il	il	PRON
se	se	PRON
tourna	tourner	VERB
vers	vers	ADP
la	le	DET
fenêtre	fenêtre	NOUN
,	,	PUNCTclause
en	en	ADP
tressaillant	tressaillir	VERB
.	.	PUNCTsent
ha	ha	NOUN
!	!	PUNCTsent
oui	oui	INTJ
,	,	PUNCTclause
ce	ce	PRON
continuel	continuel	PRON
flot	flot	VERB
,	,	PUNCTclause
ce	ce	DET
monde	monde	NOUN
venu	venir	VERB
de	de	DET
partout	partout	ADV
,	,	PUNCTclause
qui	qui	PRON
ne	ne	ADV
savait	savoir	VERB
rien	rien	PRON
de	de	DET
ce	ce	PRON
que	que	SCONJ
il	il	PRON
écrasait	écraser	VERB
en	en	ADP
route	route	NOUN
,	,	PUNCTclause
qui	qui	PRON
se	se	PRON
en	en	ADP
moquait	moquer	VERB
,	,	PUNCTclause
tant	tant	ADV
il	il	PRON
était	être	AUX
pressé	presser	VERB
de	de	DET
aller	aller	NOUN
au	au	ADP_DET
diable	diable	NOUN
!	!	PUNCTsent
Et	et	CCONJ
,	,	PUNCTclause
derrière	derrière	ADP
le	le	DET
train	train	NOUN
,	,	PUNCTclause
dans	dans	ADP
le	le	DET
lourd	lourd	ADJ
silence	silence	NOUN
,	,	PUNCTclause
il	il	PRON
rencontra	rencontrer	VERB
les	le	DET
yeux	œil	NOUN
grands	grand	ADJ
ouverts	ouvrir	VERB
de	de	DET
la	le	AUX
morte	mourir	VERB
,	,	PUNCTclause
dont	dont	PRON
les	le	DET
prunelles	prunelle	NOUN
fixes	fixe	ADJ
semblaient	sembler	VERB
suivre	suivre	VERB
chacun	chacun	PRON
de	de	DET
ses	son	NOUN
mouvements	mouvement	NOUN
,	,	PUNCTclause
pendant que	pendant que	SCONJ
le	le	DET
coin	coin	NOUN
retroussé	retrousser	VERB
des	un	ADP_DET
lèvres	lèvre	NOUN
riait	rire	VERB
.	.	PUNCTsent
↵↵	↵↵	PUNCTstruct
Misard	Misard	PROPN
,	,	PUNCTclause
si	si	SCONJ
flegmatique	flegmatique	ADJ
,	,	PUNCTclause
fut	être	AUX
pris	prendre	VERB
de	de	DET
un	un	DET
petit	petit	ADJ
mouvement	mouvement	NOUN
de	de	DET
colère	colère	NOUN
.	.	PUNCTsent
Il	il	PRON
entendait	entendre	VERB
bien	bien	ADV
,	,	PUNCTclause
elle	elle	PRON
lui	lui	PRON
disait	dire	VERB
:	:	PUNCTclause
«	«	PUNCTsent
Cherche	chercher	VERB
!	!	PUNCTsent
cherche	chercher	VERB
!	!	PUNCTsent
»	»	PUNCTclause
Mais	mais	CCONJ
sûrement	sûrement	ADV
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
les	le:PRON	PRON
emportait	emporter	VERB
pas	pas	ADV
avec	avec	ADP
elle	elle	PRON
,	,	PUNCTclause
ses	son	DET
mille	mille	NUM
francs	franc	NOUN
;	;	PUNCTclause
et	et	CCONJ
,	,	PUNCTclause
maintenant	maintenant	ADV
que	que	SCONJ
elle	elle	PRON
ne	ne	ADV
y	y	PRON
était	être	AUX
plus	plus	ADV
,	,	PUNCTclause
il	il	PRON
finirait	finir	VERB
par	par	ADP
les	le	DET
trouver	trouver	NOUN
.	.	PUNCTsent
est-ce que	est-ce que	ADV
elle	elle	PRON
ne	ne	ADV
aurait	avoir	AUX
pas	pas	ADV
dû	devoir	VERB
les	le	DET
donner	donner	NOUN
de bon cœur	de bon cœur	ADV
?	?	PUNCTsent
ça	ça	PRON
aurait	avoir	AUX
évité	éviter	VERB
tous	tout	ADJ
ces	ce	DET
ennuis	ennui	NOUN
.	.	PUNCTsent
Les	le	DET
yeux	œil	NOUN
partout	partout	ADV
le	le	DET
suivaient	suivre	NOUN
.	.	PUNCTsent
«	«	PUNCTclause
Cherche	chercher	VERB
!	!	PUNCTsent
cherche	chercher	VERB
!	!	PUNCTsent
»	»	PUNCTclause
Cette	ce	DET
chambre	chambre	NOUN
,	,	PUNCTclause
où	où	ADV
il	il	PRON
ne	ne	ADV
avait	avoir	AUX
point	point	ADV
osé	oser	DET
fouiller	fouiller	NOUN
,	,	PUNCTclause
